"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_eds","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",173,90.705963960548,NA,205.98,92.3,77.2691678465983,64.7891678465983,NA,115.336,1.2,58.5491678465983,96.3291678465983,149.049167846598,43.7491678465983,82.9491678465983,NA,80.7,59.1459678465983,NA,95.07,228.59,130.75,88.274660898907,1604.17990521818,9.84999317396983,7.86507337164846,23.525,77.9999920181,1.34747468707978,0,0,0,0,0,1.71694405113389,84.2986392857143,90.705963960548
"AARONDOBSON","Aaron Dobson","WR","NE",174,90.4847703170956,42.345,107.125,67.625,89.4471570958193,104.447157095819,NA,80.75,126.95,32.0721570958193,71.5721570958193,85.3221570958193,100.697157095819,59.3221570958193,102.75,134.875,89.8971570958193,NA,110.8,0.1,0,0.07,0,0,0,0,0,0,37.7749981784687,561.5,3.72501887021272,0,0,0.684280968060233,91.3294973604826,90.4847703170956
"DONNIEAVERY","Donnie Avery","WR","KC",175,90.0690904611321,82.895,93.75,87.125,78.0618489392737,96.0118489392737,NA,91.0875,90.95,81.9368489392737,94.0868489392737,76.0618489392737,66.7618489392737,91.0618489392737,101.5,112.85,88.5262489392737,NA,100.43,0.06,0,0,0,0,0,1.50003694938019,6.07945200506354,0,41.500031696148,592.5,2.93113272022534,0,0,0.729383686908771,90.353215520362,90.0690904611321
"ERICEBRON","Eric Ebron","TE","DET",176,90.066875,NA,97.625,111.75,92,83.5,NA,95.2375,86.5,78.625,83,91.5,87.875,77.375,92.125,102.25,65.785,NA,90.825,0,0,0,0,0,0,0,0,0,41.3999986028777,515.575,4.27,0,0,0,89.6323467261905,90.066875
"ODELLBECKHAM","Odell Beckham","WR","NYG",177,89.5990696240415,NA,92,70.5,88.8118489392737,88.6868489392737,NA,96.3,61.875,86.0368489392737,69.0618489392737,105.811848939274,88.0618489392737,84.9368489392737,112.125,106.125,56.7055989392737,NA,97.9,0.015,0,0.015,0,0,0,0,15.5,0,38.0000404083049,553.9,3.49995344746131,0,0,0.729383686908771,89.5686112065018,89.5990696240415
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",178,89.1407283762784,90.385,93.7,74.85,96.2199841520883,57.1449841520883,NA,81.955,110.75,94.1949841520883,72.6449841520883,97.4449841520883,63.3699841520883,98.1949841520883,162.95,112.8,65.0369841520883,NA,78.4,0,0,0,0,0,0,121.999993387862,526,3.00006306653399,18.6999512091753,139.559908011399,0.900062887260214,0,0,1.43500528263723,90.7811470588235,89.1407283762784
"TYLEREIFERT","Tyler Eifert","TE","CIN",179,88.9981580422555,33.99,94.75,72.875,105.43570648394,79.5607064839396,NA,84.5875,95.625,88.8107064839396,86.4357064839396,98.4357064839396,88.5607064839396,114.06070648394,89.875,117.25,76.2907064839396,NA,78.675,0,0,0,0,0,0,0,0,0,47.4999814141324,532.5,3.99999192638598,0,0,0.521431172020135,89.0870098039216,88.9981580422555
"GARRETTGRAHAM","Garrett Graham","TE","HOU",180,86.9375297031495,91.95,90.625,85.375,71.3750297031495,74.1250297031495,NA,83.9,117.625,90.3750297031495,83.5000297031495,88.5000297031495,76.1250297031495,99.7500297031495,87.625,109,84.7150297031495,NA,90.65,0,0,0,0,0,0,0,0,0,47.7999858279678,527.5,4,0,0,0.99999009895018,89.1604656862745,86.9375297031495
"JOHNBROWN","John Brown","WR","ARI",181,86.6520924782268,0.6,65.35,0.6,125.35,71.35,0.6,83.7625,77.75,78.225,88.875,104.35,76.975,92.1,0.6,0.6,0.6,NA,87.945,0,0,0,0,0,0,0,7.59996918888373,0,39.0000123843794,538.335000513786,3.00003674918587,0.1,0,0,88.3244810606061,86.6520924782268
"KHIRYROBINSON","Khiry Robinson","RB","NO",182,84.7080872158791,NA,NA,74.775,99.1,101.55,NA,98.91,63.25,105,85.05,84.5,79.3,49.375,23.525,119.825,56.127,NA,66.75,0.06,0,0.06,0,0,0,119.845,511.4,3.4999749851986,10.5000688180566,69.35,0.64991455078125,0,0,0,79.614180952381,84.7080872158791
