"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"REGGIEWAYNE","ReggieWayne","WR","IND",81.1067786442711,9.36731665839551,1,14.826,83
"MARQUESCOLSTON","MarquesColston","WR","NO",81.2632473505299,7.10519096145527,1,10.3782,82
"PIERRETHOMAS","PierreThomas","RB","NO",81.3241351729654,8.65689443130763,1,7.413,82
"DARRENSPROLES","DarrenSproles","RB","PHI",85.9314137172565,6.45415597642844,1,2.9652,84
"COLINKAEPERNICK","ColinKaepernick","QB","SF",87.8860227954409,12.9957345958938,1,19.2738,88
"DENNISPITTA","DennisPitta","TE","BAL",87.9121175764847,11.0019121487076,1,16.3086,93
"ERICDECKER","EricDecker","WR","NYJ",89.5688862227555,10.5993805975796,1,13.3434,96
"TERRANCEWILLIAMS","TerranceWilliams","WR","DAL",89.5713857228554,10.1864310100111,1,10.3782,91
"MIKEEVANS","MikeEvans","WR","TB",91.7321535692861,6.61224407928468,1,2.9652,89
"CAMNEWTON","CamNewton","QB","CAR",92.7789442111578,10.2960003789193,1,8.8956,94
"TONYROMO","TonyRomo","QB","DAL",94.4331133773245,6.24807741931862,1,2.9652,97
"KENDALLWRIGHT","KendallWright","WR","TEN",95.9382123575285,11.7014737992608,1,11.8608,96
"RILEYCOOPER","RileyCooper","WR","PHI",97.9201159768046,7.53058074134502,1,2.9652,93
"PHILIPRIVERS","PhilipRivers","QB","SD",98.4319136172765,13.8008538489704,1,5.9304,95
"DEANGELOWILLIAMS","DeAngeloWilliams","RB","CAR",98.4618076384723,14.320435871978,1,16.3086,99
"FREDJACKSON","FredJackson","RB","BUF",98.7292541491702,8.48324734255979,1,5.9304,103
"SANFRANCISCO","SanFrancisco","DEF","SF",99.4756048790242,8.37355618090287,1,7.413,101
"BRANDINCOOKS","BrandinCooks","WR","NO",101.238352329534,13.0230878336502,1,8.8956,97
"DANNYWOODHEAD","DannyWoodhead","RB","SD",102.355528894221,14.7688104513871,1,22.239,105
"TERRANCEWEST","TerranceWest","RB","CLE",103.091581683663,17.5005081166046,1,26.6868,103
