"name","pos","name_fbg3","team_fbg3","positionRank_fbg3","overallRank_fbg3","pts_fbg3","passAtt_fbg3","passComp_fbg3","passYds_fbg3","passTds_fbg3","passInt_fbg3","rushAtt_fbg3","rushYds_fbg3","rushTds_fbg3","rec_fbg3","recYds_fbg3","recTds_fbg3","returnTds_fbg3","twoPts_fbg3","fumbles_fbg3"
"JOHNKUHN","RB","John Kuhn","GB",106,384,10,NA,NA,NA,NA,NA,5,19,0,10,81,0,NA,NA,NA
"MATTFLYNN","QB","Matt Flynn","GB",52,386,9.7,17,10,124,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NE",53,387,9.35,16,10,117,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"ANTHONYSHERMAN","RB","Anthony Sherman","KC",107,388,9.3,NA,NA,NA,NA,NA,3,13,0,10,80,0,NA,NA,NA
"CHARLESSIMS","RB","Charles Sims","TB",107,388,9.3,NA,NA,NA,NA,NA,14,58,0,5,35,0,NA,NA,NA
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",156,390,9.1,NA,NA,NA,NA,NA,0,0,0,8,91,0,NA,NA,NA
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",54,391,8.95,16,10,109,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"BLAINEGABBERT","QB","Blaine Gabbert","SF",55,392,8.55,15,8,107,1,1,1,2,0,NA,NA,NA,NA,NA,NA
"ANTONESMITH","RB","Antone Smith","ATL",109,393,8.5,NA,NA,NA,NA,NA,15,62,0,3,23,0,NA,NA,NA
"DEREKANDERSON","QB","Derek Anderson","CAR",56,394,8.1,12,7,80,1,0,0,1,0,NA,NA,NA,NA,NA,NA
"DOMINIQUEDAVIS","QB","Dominique Davis","",57,395,7.95,11,6,75,1,0,1,2,0,NA,NA,NA,NA,NA,NA
"ALFONSOSMITH","RB","Alfonso Smith","",110,396,7.5,NA,NA,NA,NA,NA,12,50,0,3,25,0,NA,NA,NA
"BRANDONTATE","WR","Brandon Tate","CIN",157,397,7.4,NA,NA,NA,NA,NA,0,0,0,5,74,0,NA,NA,NA
"BRANDENOLIVER","RB","Branden Oliver","SD",111,398,7.3,NA,NA,NA,NA,NA,11,48,0,3,25,0,NA,NA,NA
"DERRICKCOLEMAN","RB","Derrick Coleman","SEA",112,399,7.1,NA,NA,NA,NA,NA,3,12,0,7,59,0,NA,NA,NA
"DARRELYOUNG","RB","Darrel Young","WAS",113,400,6.9,NA,NA,NA,NA,NA,7,27,0,5,42,0,NA,NA,NA
"WILLJOHNSON","RB","Will Johnson","PIT",114,401,6.4,NA,NA,NA,NA,NA,0,1,0,9,63,0,NA,NA,NA
"BRUCEMILLER","RB","Bruce Miller","SF",115,402,6.3,NA,NA,NA,NA,NA,3,13,0,6,50,0,NA,NA,NA
"MARCUSEASLEY","WR","Marcus Easley","BUF",158,403,6.1,NA,NA,NA,NA,NA,0,0,0,5,61,0,NA,NA,NA
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",116,404,5.9,NA,NA,NA,NA,NA,11,45,0,2,14,0,NA,NA,NA
"CYRUSGRAY","RB","Cyrus Gray","KC",117,405,5.4,NA,NA,NA,NA,NA,6,26,0,4,28,0,NA,NA,NA
"ROBERTMEACHEM","WR","Robert Meachem","",159,406,5.3,NA,NA,NA,NA,NA,0,2,0,3,51,0,NA,NA,NA
"STANLEYHAVILI","RB","Stanley Havili","IND",118,407,5.2,NA,NA,NA,NA,NA,4,15,0,5,37,0,NA,NA,NA
"BRANDONWILLIAMS","TE","Brandon Williams","CAR",74,408,5.1,NA,NA,NA,NA,NA,NA,NA,NA,4,51,0,NA,NA,NA
"KYLEWILLIAMS","WR","Kyle Williams","KC",160,409,5,NA,NA,NA,NA,NA,1,4,0,3,46,0,NA,NA,NA
