"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklyVariability"
"EARLBENNETT","Earl Bennett","WR","CLE",222,64.6625,60.625,NA,NA,NA,45.475,NA,NA,NA,NA,48.875,NA,89.25,76.325,0,0,0,0,0,27.5479500609889,384.5,2.75,0.05,0,45.7678571428571,64.6625,3.01629830496225
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",223,64.3908512576318,87.875,70.75,59.5,NA,67.8375,85.875,41.75,41.375,61.125,68.875,64.625,45,72.875,0,0,0,0,0,26.0000300494493,377.525,2.8500377096053,0.05,0,63.9885416666667,64.3908512576318,2.97323270485551
"MATTCASSEL","Matt Cassel","QB","MIN",224,64.3595632303704,39.76,34.94,104.28,NA,65.646,81,117.9,48.04,48.2,51,53.5,139.92,NA,1216.5,7.4999384243395,5.50006348899585,52,0,0,0,0,0,1,69.6532727272727,64.3595632303704,4.29490976701963
"ANDREHOLMES","Andre Holmes","WR","OAK",225,64.2185891765333,NA,41.75,49,NA,46.4,102.775,69.375,87.65,103.375,53.325,61.75,77,16.5,0,0,0,0,0,27.8000265290494,393.75,2.49997319608889,0,0,64.4545454545455,64.2185891765333,2.87348391413431
"CHARLESSIMS","Charles Sims","RB","TB",226,63.693418401332,95.275,92.275,43.7,NA,64.975,41.2,10.2,61.775,83.25,37.125,32.25,87.275,80.05,0,0,0,283.873063686631,2.00002337249409,19.0000268304103,155.25,1.14995363295073,0,1,59.5291666666667,63.693418401332,3.20388934823413
"ACESANDERS","Ace Sanders","WR","JAC",227,63.3254374847648,67.125,54.25,60.975,NA,65.3625,70.175,80.625,53.75,64.25,73.825,45.75,99.025,30.55,0,0,0,9.41062484764781,0,42.65,425.875,1.525,0,0,63.8927083333333,63.3254374847648,2.73248207196255
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",228,62.3189776754793,73.75,54.5,59.525,NA,62.025,80.9,54.625,46.475,40.625,61.3,32.625,82.95,66.945,0,0,0,14.9429163966896,0,32.9999536078453,370.2,2.49994767263506,0,0.15,59.3349166666667,62.3189776754793,3.11927045925033
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",229,62.0725364950573,81.875,59.25,58.5,NA,64.3375,97.375,60.5,62.25,68,64.375,61.75,85.875,60.275,0,0,0,0,0,37,394.577441274391,3.0000513659805,0,1.74998395337486,66.121875,62.0725364950573,3.21772999636133
"BRANDONGIBSON","Brandon Gibson","WR","MIA",230,61.5565470772819,77.25,81.125,NA,NA,73.475,52.625,55.75,47.625,42.625,44.625,38.25,91,83.925,0,0,0,0,0,29.7499770200829,385.25,2.20004951288032,0.1,0,62.6659090909091,61.5565470772819,2.90854250697747
"JERMICHAELFINLEY","Jermichael Finley","TE",NA,231,60.78125,68.75,NA,51.125,NA,53.175,NA,57.25,57.875,71.75,NA,NA,68.125,NA,0,0,0,0,0,27.99995972379,342.25,3,0,0,61.15,60.78125,3.21220096251777
