"name","pos","name_wf","team_wf","positionRank_wf","overallRank_wf","pts_wf","passAtt_wf","passComp_wf","passYds_wf","passTds_wf","passInt_wf","rushAtt_wf","rushYds_wf","rushTds_wf","rec_wf","recYds_wf","recTds_wf","returnTds_wf","twoPts_wf","fumbles_wf"
"ANDREBROWN","RB","Andre Brown","HOU",37,167,113,NA,NA,NA,NA,NA,NA,550,NA,20,130,NA,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",58,167,113,NA,NA,NA,NA,NA,NA,NA,NA,57,830,NA,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",58,167,113,NA,NA,NA,NA,NA,NA,NA,NA,68,830,NA,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",58,167,113,NA,NA,NA,NA,NA,NA,NA,NA,60,890,NA,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",11,167,113,NA,NA,NA,NA,NA,NA,NA,NA,67,770,NA,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",61,172,112,NA,NA,NA,NA,NA,NA,NA,NA,68,820,NA,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",62,173,110,NA,NA,NA,NA,NA,NA,NA,NA,60,860,NA,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARZ",62,173,110,NA,NA,NA,NA,NA,NA,NA,NA,47,710,NA,NA,NA,NA
"BILLYCUNDIFF","K","Billy Cundiff","CLE",32,173,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",64,176,109,NA,NA,NA,NA,NA,NA,NA,NA,49,650,NA,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",65,177,108,NA,NA,NA,NA,NA,NA,NA,NA,55,780,NA,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",65,177,108,NA,NA,NA,NA,NA,NA,NA,NA,56,720,NA,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",12,177,108,NA,NA,NA,NA,NA,NA,NA,NA,68,780,NA,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",38,180,107,NA,NA,NA,NA,NA,NA,560,NA,18,120,NA,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",39,181,106,NA,NA,NA,NA,NA,NA,600,NA,10,60,NA,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",33,182,105,NA,NA,1700,11,9,NA,50,NA,NA,NA,NA,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",40,182,105,NA,NA,NA,NA,NA,NA,650,NA,21,160,NA,NA,NA,NA
