"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"ZURLONTIPTON","RB","Zurlon Tipton","IND",104,380,4,NA,0,0,0,0,9,33,0,3,15,0,NA,NA,0
"BRICEBUTLER","WR","Brice Butler","OAK",148,380,4,NA,0,0,0,0,0,0,0,5,45,0,NA,NA,0
"CHRISHOGAN","WR","Chris Hogan","BUF",148,380,4,NA,0,0,0,0,0,0,0,6,46,0,NA,NA,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",55,386,3,NA,9,105,0,1,4,0,0,0,0,0,NA,NA,0
"KYLEORTON","QB","Kyle Orton","BUF",55,386,3,NA,8,97,0,0,0,0,0,0,0,0,NA,NA,0
"ERIKLORIG","RB","Erik Lorig","NOS",108,386,3,NA,0,0,0,0,10,21,0,4,15,0,NA,NA,0
"JOEMCKNIGHT","RB","Joe McKnight","KCC",108,386,3,NA,0,0,0,0,6,33,0,0,1,0,NA,NA,0
"DENARDROBINSON","RB","Denard Robinson","JAC",108,386,3,NA,0,0,0,0,18,51,0,1,3,0,NA,NA,1
"JAMESCASEY","TE","James Casey","PHI",76,386,3,NA,0,0,0,0,0,0,0,4,38,0,NA,NA,0
"MICHAELPALMER","TE","Michael Palmer","PIT",76,386,3,NA,0,0,0,0,0,0,0,2,31,0,NA,NA,0
"NILESPAUL","TE","Niles Paul","WAS",76,386,3,NA,0,0,0,0,0,0,0,4,53,0,NA,NA,1
"CHASEDANIEL","QB","Chase Daniel","KCC",57,394,2,NA,8,85,0,1,15,0,0,0,0,0,NA,NA,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",111,394,2,NA,0,0,0,0,5,10,0,5,17,0,NA,NA,0
"JACKDOYLE","TE","Jack Doyle","IND",79,394,2,NA,0,0,0,0,0,0,0,6,25,0,NA,NA,0
"TAYLORTHOMPSON","TE","Taylor Thompson","TEN",79,394,2,NA,0,0,0,0,0,0,0,3,26,0,NA,NA,0
"BRENTONBERSIN","WR","Brenton Bersin","CAR",150,394,2,NA,0,0,0,0,1,4,0,3,29,0,NA,NA,0
