"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"VERNONDAVIS","TE","Vernon Davis","SF",8,124,121.5,NA,NA,NA,NA,NA,NA,NA,NA,50,735,8,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",9,125,120.9,NA,NA,NA,NA,NA,NA,NA,NA,61,729,8,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",10,126,119.5,NA,NA,NA,NA,NA,NA,NA,NA,72,835,6,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",43,127,116.9,NA,NA,NA,NA,NA,156,718,6,13,91,0,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",43,128,116.6,NA,NA,NA,NA,NA,58,806,6,0,0,0,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",11,129,116.3,NA,NA,NA,NA,NA,NA,NA,NA,72,803,6,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",44,130,115.8,NA,NA,NA,NA,NA,65,858,5,0,0,0,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",44,131,115.4,NA,NA,NA,NA,NA,172,774,6,4,20,0,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",12,132,114.5,NA,NA,NA,NA,NA,NA,NA,NA,71,785,6,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",45,133,112.6,NA,NA,NA,NA,NA,160,696,4,28,190,0,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",46,134,110.3,NA,NA,NA,NA,NA,130,598,4,31,205,1,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",45,134,110.3,NA,NA,NA,NA,NA,64,803,5,0,0,0,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",47,136,108.7,NA,NA,NA,NA,NA,87,348,1,59,499,3,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",13,137,106.4,NA,NA,NA,NA,NA,NA,NA,NA,64,704,6,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",46,138,105.9,NA,NA,NA,NA,NA,64,819,4,0,0,0,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",46,138,105.9,NA,NA,NA,NA,NA,52,759,5,0,0,0,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARZ",48,140,105.8,NA,NA,NA,NA,NA,48,758,5,0,0,0,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",49,141,104.5,NA,NA,NA,NA,NA,65,865,3,0,0,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",48,142,104.1,NA,NA,NA,NA,NA,152,631,6,8,50,0,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",50,142,104.1,NA,NA,NA,NA,NA,46,741,5,0,0,0,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",14,144,103,NA,NA,NA,NA,NA,NA,NA,NA,50,670,6,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",51,145,102.7,NA,NA,NA,NA,NA,67,764,4,5,23,0,NA,NA,NA
