"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation","bidUpToSim"
"ROBGRONKOWSKI","Rob Gronkowski","TE",170.173418156955,7.09869837193502,18,"NE",72,38.8253248917028,3,185.25,181.875,157.5,NA,158.3625,191.6,83.625,169.125,176.425,163.0703125,170.173418156955,100.50075105137,47.6660070715009,9.8152,34.3077966054963,16.95,20,23,10.6578709325666,6
"RASHADJENNINGS","Rashad Jennings","RB",169.61645412991,5.71518196325557,18,"NYG",73,50.6688603798734,21,167.5,137.7,165.25,NA,161.44,191.375,196.15,179.25,172.8,170.458125,169.61645412991,105.489130014,46.4463154867222,14.4391,18.3733539471665,16.9,20,9,8.47928361834302,7
"RYANMATHEWS","Ryan Mathews","RB",169.331288576626,3.29432616443302,30,"SD",74,41.9377040986338,22,182.575,177.125,170.5,NA,171.285,165.5,158.375,181.475,159.725,169.52,169.331288576626,110.414548945489,46.1611499334383,6.2739,9.24322261366209,29.25,33,9,1.09861228866811,1
"FRANKGORE","Frank Gore","RB",168.537287038165,4.8276307964677,19,"SF",75,47.0461512829057,23,171.725,149.15,176.55,NA,165.6275,199.425,179.275,160.825,166.525,170.0128125,168.537287038165,107.524482993176,45.3671483949765,11.6239,14.8202320348557,18.15,21,7,7.39079852173568,1
"SHANEVEREEN","Shane Vereen","RB",166.438150305924,5.66619932708088,15,"NE",76,54.7571809396868,24,195.15,162.25,165.475,NA,171.02,121.375,159.525,192.9,174.875,167.19625,166.438150305924,107.651809635173,43.2680116627363,10.1152,22.9857635676023,14.65,17,7,9.17003907520266,10
"PIERREGARCON","Pierre Garcon","WR",186.880905384785,3.20532087899841,24,"WAS",54,34.7143118960347,14,201.625,183.375,179.025,NA,185.275,187.825,170,201.675,181.45,186.210416666667,186.880905384785,127.647544639185,42.7238389829466,4.2826,10.8582650383409,21.1,24,20,8.09620827165004,7
"CHRISJOHNSON","Chris Johnson","RB",165.469991896751,5.09429128461877,10,"NYJ",78,56.1708263912029,25,168.775,150.875,169.45,NA,164.735,183.9,189.75,168.15,150.025,166.8325,165.469991896751,104.621610816646,42.2998532535633,14.1804,13.914433154103,9.8,12,7,8.55236726642389,9
"BENTATE","Ben Tate","RB",165.046760080578,4.95985322247162,14,"CLE",79,55.6967677440853,26,167.025,142.55,188.1,NA,156.4175,179.875,147.625,177.725,149.2,161.7396875,165.046760080578,98.7512271015108,41.8766214373895,10.5739,17.0445354899148,13.15,15,4,8.37378460812088,2
"TRENTRICHARDSON","Trent Richardson","RB",164.956132362162,5.06967470056005,7,"IND",80,61.530523158947,27,174.925,142.725,181.45,NA,165.95,177.625,186.825,156.2,141.975,164.696875,164.956132362162,103.253001833389,41.7859937189739,11.0565,17.3293101085786,6.25,8,4,9.40368429205187,1
"MICHAELCRABTREE","Michael Crabtree","WR",185.901816137226,5.33328162477283,20,"SF",56,46.5526157947351,15,195.75,196.625,167.575,NA,186.1875,189.45,179,205,150.6,183.465104166667,185.901816137226,125.676157405232,41.7447497353882,12.5217,17.6589546759013,17.3,20,20,9.7091743828898,3
"COLINKAEPERNICK","Colin Kaepernick","QB",288.785979159928,6.11251478369283,8,"SF",4,83.5629623458847,4,314.14,322.34,261.52,305.4,294.492,304.38,274.22,295.84,246.28,289.884666666667,288.785979159928,264.4756512917,41.1786125001003,11.1391,25.2243923040994,6.3,8,15,10.6599615829564,4
"NICKFOLES","Nick Foles","QB",288.549804300777,5.15350527597092,14,"PHI",5,65.870793068977,5,280.54,295.7,275.06,330.1,281.272,288.3,291.3,286.94,290.26,290.413555555556,288.549804300777,257.192358555365,40.9424376409493,12.8152,15.9429280177067,11.05,13,6,9.78492921641199,1
"VERNONDAVIS","Vernon Davis","TE",161.97479946503,5.25045159033209,20,"SF",83,55.7233588803732,4,161.375,172.875,178.25,172.125,164.35,172.125,145.125,153.375,113.175,158.876587301587,161.97479946503,98.755472683518,39.4673883795761,9.7652,20.2039887941576,19.2,22,11,9.72704865890033,10
"KEENANALLEN","Keenan Allen","WR",183.599998024631,2.46807374994679,36,"SD",57,35.9571309563479,16,186.625,177.125,178.625,NA,181.475,187.225,189.125,191.75,183.425,183.751041666667,183.599998024631,124.642205761582,39.4429316227923,4.3413,5.14167908754384,31.15,36,16,0,3
"JOIQUEBELL","Joique Bell","RB",161.781182054058,4.53281202990478,16,"DET",84,59.4415194935022,28,178.7,160.075,175.325,NA,169.4125,142.725,178.575,159.075,155.675,163.3953125,161.781182054058,104.774253620175,38.6110434108701,11.4478,12.7644314991125,14.85,17,2,6.17586727010576,2
"VICTORCRUZ","Victor Cruz","WR",180.912611145173,4.58417019666839,22,"NYG",60,40.6947517494169,17,179.375,172.875,172.25,217.65,175.475,208.525,182.75,201.75,171.975,187.215476190476,180.912611145173,122.435210052675,36.7555447433351,7.6152,17.578938036753,19.15,22,16,8.97689392766608,11
"WESWELKER","Wes Welker","WR",180.356165218405,4.24747010307886,25,"DEN",61,42.598683772076,18,180.125,175.5,150.875,NA,174.3375,185.5,193.375,198.375,181.075,179.3828125,180.356165218405,117.700391382944,36.1990988165669,8.1478,14.3847357365306,21.6,25,16,7.76937860951398,11
"ANDREWLUCK","Andrew Luck","QB",282.785477007986,4.27668283489855,21,"IND",6,54.3044818393869,6,302.58,279.16,279.34,287.58,280.81,288,282.1,306,259.94,283.578888888889,282.785477007986,253.909304803806,35.1781103481588,8.9978,13.6280721307161,16.55,19,4,7.72797554210556,5
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR",178.187213553626,4.92632371954456,20,"MIN",64,55.2305064978341,19,155.375,159.375,160.15,NA,173.85,205.725,184.325,188.425,168.775,179.385416666667,178.187213553626,112.641663927913,34.0301471517882,10.1152,17.316749736269,17.45,20,12,8.94324493313279,3
