"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"GARRETTGRAHAM","Garrett Graham","TE","HOU",18,159,NA,NA,NA,NA,NA,NA,NA,50.6,552,4.33,NA,1.01,79.1
"GREGJENNINGS","Greg Jennings","WR","MIN",62,160,NA,NA,NA,NA,NA,NA,NA,59.7,617,3,NA,0.51,78.7
"ANTONIOGATES","Antonio Gates","TE","SD",19,161,NA,NA,NA,NA,NA,NA,NA,54.7,571,3.8,NA,0.69,78.6
"JEROMESIMPSON","Jerome Simpson","WR","MIN",63,162,NA,NA,NA,NA,NA,NA,NA,47.1,677,2.04,NA,0.84,78.2
"ZACHERTZ","Zach Ertz","TE","PHI",20,163,NA,NA,NA,NA,NA,NA,NA,36.8,511,4.54,NA,0.32,77.7
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",64,164,NA,NA,NA,NA,NA,NA,NA,34,506,4.62,NA,0.31,77.5
"JORDANTODMAN","Jordan Todman","RB","JAC",49,165,NA,NA,NA,NA,NA,469,3.16,4.6,36,0.23,NA,1.52,75.8
"KENDALLHUNTER","Kendall Hunter","RB","SF",50,166,NA,NA,NA,NA,NA,516,4.02,0.5,4,0.01,NA,0.96,74.4
"KNILEDAVIS","Knile Davis","RB","KC",51,167,NA,NA,NA,NA,NA,399,3.78,14.9,97,0.71,NA,1.84,73.9
"ANDREWQUARLESS","Andrew Quarless","TE","GB",21,167,NA,NA,NA,NA,NA,NA,NA,51.7,557,3.18,NA,0.48,73.9
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",65,169,NA,NA,NA,NA,NA,NA,NA,33.8,409,2.43,NA,1.95,72.4
"DONNIEAVERY","Donnie Avery","WR","KC",66,170,NA,NA,NA,NA,NA,NA,NA,41.8,559,2.43,NA,0.52,70.6
"NATEBURLESON","Nate Burleson","WR","CLE",67,171,NA,NA,NA,NA,NA,NA,NA,58.8,572,2.24,NA,0.65,69.9
"HARRYDOUGLAS","Harry Douglas","WR","ATL",68,172,NA,NA,NA,NA,NA,NA,NA,55.4,542,2.6,NA,1.42,68.5
"MIKETOLBERT","Mike Tolbert","RB","CAR",52,173,NA,NA,NA,NA,NA,169,1.4,38.7,326,1.72,NA,0.73,67.2
"PEYTONHILLIS","Peyton Hillis","RB","NYG",53,174,NA,NA,NA,NA,NA,401,2.52,14.6,116,0.59,NA,1.83,66.8
"TJGRAHAM","T.J. Graham","WR","BUF",69,174,NA,NA,NA,NA,NA,NA,NA,35.4,507,1.91,NA,1.2,66.8
"KENNYBRITT","Kenny Britt","WR","STL",70,176,NA,NA,NA,NA,NA,NA,NA,44.8,523,2.49,NA,0.72,65.8
