"name","pos","name_nf","team_nf","positionRank_nf","overallRank_nf","pts_nf","passAtt_nf","passComp_nf","passYds_nf","passTds_nf","passInt_nf","rushAtt_nf","rushYds_nf","rushTds_nf","rec_nf","recYds_nf","recTds_nf","returnTds_nf","twoPts_nf","fumbles_nf"
"MARKUSWHEATON","WR","Markus Wheaton","PIT",57,149,85.22,0.08,0,0,0,0,0,0,0,63.66,733.4,2.27,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",58,150,84.26,0.08,0.08,-0.08,0,0,1.38,6.57,0,42.39,631.08,3.52,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",59,151,83.69,0.08,0,0,0,0,0,0,0,52.79,645.32,3.22,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",42,152,82.71,0.28,0,0,0,0,130.32,556.08,2.76,22.8,143.04,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",60,153,82.13,0.44,0.2,5.94,0,0,5.02,51.85,0.26,63.88,608.27,2.64,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",61,154,82.05,0,0,0,0,0,0,0,0,28.57,554.14,4.44,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",19,155,81.33,0,0,0,0,0,0,0,0,29.21,445.52,6.24,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",43,156,80.73,0,0,0,0,0,119.83,487.44,3.51,15.93,110.65,0.3,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",44,157,80.04,0.04,0.04,0.17,0.04,0,99.15,383.39,2.83,30.75,220.97,0.59,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",45,158,79.81,0.38,0.06,0.27,0.06,0.16,145.19,521.27,2.68,25.02,128.75,0.18,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",62,159,79.66,0.06,0,0,0,0,0,0,0,50.14,613.21,3.09,NA,NA,NA
