"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo","passAttMedian","passCompMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"VICTORCRUZ","Victor Cruz","WR","NYG",55,183.634787918264,199.655,179.375,167.875,172.25,NA,176.475,208.525,195.25,181.75,169.75,181.5,204.875,185.25,201.75,185.625,0,0,185.753024891775,183.634787918264,38.0683263347331,13.4063909282021,6.1826,3.90083078750453
"ZACSTACY","Zac Stacy","RB","STL",56,183.075158723204,160.64,203.7,183.525,188.575,NA,193.2125,187.125,208.65,168.9,176.5,174.375,187.875,194.075,189.5,195.15,0,0,183.565119047619,183.075158723204,25.7356728654269,13.049108445241,6.9565,3.94018872896829
"REGGIEBUSH","Reggie Bush","RB","DET",57,179.036990083323,153.17,190.05,170.3,195.4,NA,175.2,193.125,155.075,182.15,200.5,175.125,206.5,184.15,201.95,148.425,0,0,177.217083333333,179.036990083323,37.4243851229754,18.8245419657366,9.6565,4.81728704743821
"PIERREGARCON","Pierre Garcon","WR","WAS",58,178.348051768109,163.1,199,183.375,179.025,NA,184.4875,187.825,170,174.2,181.25,182.55,176.625,145.75,208.8,173.475,0,0,178.603593073593,178.348051768109,36.3863527294541,15.0142545879256,4.5413,3.9069243791799
"TOBYGERHART","Toby Gerhart","RB","JAC",59,177.631727214724,148.925,200.575,178.625,160.725,NA,189.71,205.625,228.025,160.975,180.5,171.6,196.375,160.475,180.6,178.8,0,0,178.72119047619,177.631727214724,36.3794541091782,21.2503923590151,6.5326,4.76204766435999
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",60,175.500215640516,NA,219.62,145.66,148.18,NA,157.232,189.5,114.06,195.12,164.3,223.7,212,245.6,138.92,185.62,402.5,239,177.690666666667,175.500215640516,142.317877713779,38.8903316018591,25.1478,8.47259206923765
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",61,175.359283712425,124.37,203.875,190.125,181.225,NA,189.275,182.75,172.5,160.025,164,175.525,173,158.25,209.025,180.47,0,0,176.242451298701,175.359283712425,41.4475704859028,21.0084870637748,5.6826,4.65199159194754
"RODDYWHITE","Roddy White","WR","ATL",62,172.109554416535,125.005,181.625,171.5,167.5,NA,176.7125,187.5,189.375,160.375,175.125,172.625,174.5,158.5,186.625,173.7,0,0,170.341904761905,172.109554416535,44.2153169366127,16.2498663530007,7.5739,4.33882809346477
"RYANMATHEWS","Ryan Mathews","RB","SD",63,171.850054869595,157.255,182.575,170.225,170.5,NA,170.975,165.5,164.175,168.55,180.125,175.45,189.625,205.2,185.075,163.45,0,0,172.834285714286,171.850054869595,39.5597980403919,12.611754111076,7.1152,3.90990168438611
"MICHAELFLOYD","Michael Floyd","WR","ARI",64,171.837009199763,163.825,184.25,176.75,164.5,NA,179.025,158.8,189.125,168.75,177,172,167.25,180.125,176.75,161.475,0,0,172.306141774892,171.837009199763,56.3113677264547,9.03151628471648,8.8978,3.71006998525197
