Name,,Proj Value,Avg Cost,Percent Drafted,
?,Player Note,?,$1 ,$1.00 ,6%
,Robert Woods Buf - WR,,,,
,Out,,,,
,Sun 10:00 am @ Chi,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Owen Daniels Bal - TE,,,,
,Sun 10:00 am vs Cin,,,,
?,New Player Note,?,$5 ,$1.50 ,24%
,Devonta Freeman Atl - RB,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$1 ,$1.20 ,18%
,Stevie Johnson SF - WR,,,,
,Sun 1:25 pm @ Dal,,,,
?,Player Note,?,$1 ,$0.00 ,0%
,Khiry Robinson NO - RB,,,,
,Sun 10:00 am @ Atl,,,,
?,No new player Notes,?,$0 ,$1.00 ,3%
,Sebastian Janikowski Oak - K,,,,
,Sun 10:00 am @ NYJ,,,,
?,Player Note,?,$1 ,$1.00 ,88%
,Tyler Eifert Cin - TE,,,,
,Out,,,,
,Sun 10:00 am @ Bal,,,,
?,New Player Note,?,$0 ,$1.00 ,6%
,Sam Bradford StL - QB,,,,
,Out,,,,
,Sun 10:00 am vs Min,,,,
?,No new player Notes,?,$1 ,$1.00 ,30%
,Coby Fleener Ind - TE,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$5 ,$3.00 ,15%
,Bernard Pierce Bal - RB,,,,
,Out,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Zach Miller Sea - TE,,,,
,Thu 5:30 pm vs GB,,,,
?,No new player Notes,?,$0 ,$1.00 ,3%
,Matt Bryant Atl - K,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$1 ,$1.00 ,67%
,Josh McCown TB - QB,,,,
,Sun 1:25 pm vs Car,,,,
?,No new player Notes,?,$1 ,$1.00 ,76%
,Delanie Walker Ten - TE,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$0 ,$1.00 ,3%
,Brent Celek Phi - TE,,,,
,Sun 10:00 am vs Jax,,,,
