"player","position","positionRank","team","teams","aav","teams10","aavImputeZeros","aavPercent","aavImputeZerosPercent","aavFitted","aavPercentFitted","aavPercentToAAVFitted","predictedAAV","predictedAAVPercent","predictedAAVPercentToAAV"
"Chris Ivory","RB",33,"NYJ",18,15,7,15,0.416666666666667,0.416666666666667,14.8158337247241,0.410919053208086,14.7930859154911,15.0684062823286,0.419188251881074,15.0907770677187
"Chris Ivory","RB",33,"NYJ",8,3,7,3,0.1875,0.1875,3.44091916184027,0.22194370818433,3.55109933094927,3.44865881381278,0.204629136551779,3.27406618482847
"Chris Ivory","RB",33,"NYJ",6,NA,7,0,NA,0,0.870602755088363,0.0801223811146612,0.961468573375934,0.829375825934451,0.0576910554210032,0.692292665052038
"Chris Ivory","RB",33,"NYJ",16,13,7,13,0.40625,0.40625,13.6740712715621,0.434187264035556,13.8939924491378,13.8776772480402,0.437339708647436,13.994870676718
"Chris Ivory","RB",33,"NYJ",12,10,7,10,0.416666666666667,0.416666666666667,9.12891679813709,0.394101301268797,9.45843123045113,9.23458961236242,0.387020237758462,9.2884857062031
"Chris Ivory","RB",33,"NYJ",10,7,7,7,0.35,0.35,6.28732365585298,0.325774592347933,6.51549184695867,6.34402988895189,0.313576774776491,6.27153549552982
"Chris Ivory","RB",33,"NYJ",14,11,7,11,0.392857142857143,0.392857142857143,11.6847991497033,0.429410102610231,12.0234828730865,11.839438545055,0.427445793161004,11.9684822085081
"Chris Ivory","RB",33,"NYJ",4,NA,7,0,NA,0,0,-0.102175656524381,0,0,0,0
"Coby Fleener","TE",12,"IND",20,9,3,9,0.225,0.225,9.32503750127916,0.218272972127426,8.73091888509705,9.33520740717827,0.242132537086987,9.68530148347947
"Coby Fleener","TE",12,"IND",18,9,3,9,0.25,0.25,8.11082479203869,0.20254195692737,7.29151044938531,8.10000373207597,0.214514044807091,7.72250561305528
"Coby Fleener","TE",12,"IND",6,NA,3,0,NA,0,0,0.0161011846095527,0.193214215314633,0,0,0
"Coby Fleener","TE",12,"IND",16,7,3,7,0.21875,0.21875,6.84319861671036,0.203516039740727,6.51251327170328,6.81138659088581,0.203600650540609,6.5152208172995
"Coby Fleener","TE",12,"IND",8,1,3,1,0.0625,0.0625,1.32069476885605,0.121399500043057,1.94239200068892,1.20491887958418,0.0739342025235823,1.18294724037732
"Coby Fleener","TE",12,"IND",4,NA,3,0,NA,0,0,-0.148411188136112,0,0,0,0
"Coby Fleener","TE",12,"IND",10,3,3,3,0.15,0.15,2.76090705136701,0.180136950718666,3.60273901437331,2.66612212795696,0.14455913027903,2.8911826055806
"Coby Fleener","TE",12,"IND",14,5,3,5,0.178571428571429,0.178571428571429,5.52626575101102,0.208542028013238,5.83917678437067,5.47346275932464,0.196739161733281,5.50869652853187
"Coby Fleener","TE",12,"IND",12,4,3,4,0.166666666666667,0.166666666666667,4.16413297065763,0.204966729190639,4.91920150057533,4.09033901310942,0.181276385830842,4.35063325994021
"Cody Latimer","WR",61,"DEN",14,3,0,3,0.107142857142857,0.107142857142857,3.21731942626619,0.119593508022896,3.34861822464109,3.73093311694607,0.128541889306527,3.59917290058276
"Cody Latimer","WR",61,"DEN",16,6,0,6,0.1875,0.1875,5.14917359575576,0.178296682304823,5.70549383375434,5.78061464537112,0.187016959371984,5.9845426999035
"Cody Latimer","WR",61,"DEN",12,NA,0,0,NA,0,1.44587218955426,0.0555551755070191,1.33332421216846,1.84165852129866,0.0647316610071196,1.55355986417087
"Cody Latimer","WR",61,"DEN",8,NA,0,0,NA,0,0,-0.0304574012141914,0,0,0,0
"Cody Latimer","WR",61,"DEN",6,NA,0,0,NA,0,0,-0.0233968639133281,0,0,0,0
"Cody Latimer","WR",61,"DEN",10,NA,0,0,NA,0,0.070245667943287,0.00069907551029137,0.0139815102058274,0.348204640752209,0.0101036652268615,0.20207330453723
"Cody Latimer","WR",61,"DEN",20,8,0,8,0.2,0.2,8.55244760377522,0.221627993154427,8.86511972617707,9.41954337126154,0.229892061788649,9.19568247154595
"Cody Latimer","WR",61,"DEN",4,NA,0,0,NA,0,0.672428216947456,0.0363980781659801,0.291184625327841,0.596905112949943,0.0464869805319592,0.371895844255673
"Cody Latimer","WR",61,"DEN",18,7,0,7,0.194444444444444,0.194444444444444,7.0060209156998,0.217147307599699,7.81730307358916,7.75528932425064,0.225639480450391,8.12302129621406
"Cody Parkey","K",4,"PHI",18,1,1,1,0.0277777777777778,0.0277777777777778,0.974260300848515,0.0241238769288606,0.868459569438982,0.987511478421276,0.0272286355619753,0.980230880231111
"Cody Parkey","K",4,"PHI",16,1,1,1,0.03125,0.03125,0.9886855082491,0.0307878486397983,0.985211156473546,0.993139184048965,0.0308227281577111,0.986327301046757
"Cody Parkey","K",4,"PHI",8,1,1,1,0.0625,0.0625,0.966758894587602,0.0708423188225441,1.13347710116071,0.936022563295883,0.0585976818796495,0.937562910074392
"Cody Parkey","K",4,"PHI",14,1,1,1,0.0357142857142857,0.0357142857142857,1.01213603376593,0.0390013420571773,1.09203757760096,1.0077922077929,0.0359663424598883,1.00705758887687
"Cody Parkey","K",4,"PHI",12,1,1,1,0.0416666666666667,0.0416666666666667,1.02762381495635,0.0485546938084562,1.16531265140295,1.01448248721043,0.0424498150959653,1.01879556230317
"Cody Parkey","K",4,"PHI",10,1,1,1,0.05,0.05,1.0181607893778,0.0592382405210923,1.18476481042185,0.996221959858973,0.0500634826933995,1.00126965386799
"Cody Parkey","K",4,"PHI",20,1,1,1,0.025,0.025,0.985848474006778,0.0192190902969054,0.768763611876217,1.00789715335243,0.025393728045222,1.01574912180888
"Cody Parkey","K",4,"PHI",4,1,1,1,0.125,0.125,0.67018624760188,0.0959734167017275,0.76778733361382,0.62185491276437,0.0775890215284291,0.620712172227433
"Cody Parkey","K",4,"PHI",6,1,1,1,0.0833333333333333,0.0833333333333333,0.856430068143168,0.0831572653402699,0.997887184083239,0.816896235078554,0.0678427492821734,0.814112991386081
"Cole Beasley","WR",70,"DAL",14,1,0,1,0.0357142857142857,0.0357142857142857,1.75380531363618,0.0775533210862806,2.17149299041586,2.62230714276655,0.0910206572226608,2.5485784022345
"Cole Beasley","WR",70,"DAL",12,NA,0,0,NA,0,0.592865254245643,0.0330727248791334,0.793745397099202,1.25707580414397,0.0450938859621265,1.08225326309104
"Cole Beasley","WR",70,"DAL",4,NA,0,0,NA,0,0.569303328771454,0.0270533583220876,0.216426866576701,0.416348761741601,0.0332898191915318,0.266318553532255
"Cole Beasley","WR",70,"DAL",18,4,0,4,0.111111111111111,0.111111111111111,4.54017791918199,0.152272191920738,5.48179890914655,5.81726230677645,0.168631878163892,6.07074761390012
"Cole Beasley","WR",70,"DAL",8,NA,0,0,NA,0,0,-0.0231213412140694,0,0,0,0
"Cole Beasley","WR",70,"DAL",6,NA,0,0,NA,0,0,-0.0160310319397532,0,0,0,0
"Cole Beasley","WR",70,"DAL",10,NA,0,0,NA,0,0,-0.00361945908104446,0,0.222211867178576,0.00695552694856139,0.139110538971228
"Cole Beasley","WR",70,"DAL",16,3,0,3,0.09375,0.09375,3.11346034513214,0.120420439960211,3.85345407872674,4.18625345349455,0.135333951149978,4.3306864367993
"Cole Beasley","WR",70,"DAL",20,6,0,6,0.15,0.15,5.90230560623401,0.163706687387679,6.54826749550714,7.3836812730605,0.18151254868422,7.26050194736882
"Colin Kaepernick","QB",13,"SF",8,NA,4,0,NA,0,2.210955664194,0.145737685505736,2.33180296809178,2.00299109606909,0.0960720934608746,1.53715349537399
"Colin Kaepernick","QB",13,"SF",16,14,4,14,0.4375,0.4375,14.0591394004727,0.427740913117301,13.6877092197536,13.5349069653777,0.422013284484885,13.5044251035163
"Colin Kaepernick","QB",13,"SF",14,11,4,11,0.392857142857143,0.392857142857143,9.62575252733795,0.357223794577152,10.0022662481603,9.1805870589855,0.340511675091624,9.53432690256548
"Colin Kaepernick","QB",13,"SF",18,19,4,19,0.527777777777778,0.527777777777778,20.2711741047422,0.531168870456332,19.122079336428,19.6678747029047,0.536425732677028,19.311326376373
"Colin Kaepernick","QB",13,"SF",6,NA,4,0,NA,0,0.105636885050264,0.00946413591686612,0.113569631002393,0,0,0
"Colin Kaepernick","QB",13,"SF",12,7,4,7,0.291666666666667,0.291666666666667,6.49236116228306,0.299877536211456,7.19706086907494,6.12626266067312,0.272180925872817,6.53234222094761
"Colin Kaepernick","QB",13,"SF",10,4,4,4,0.2,0.2,4.18031298225336,0.235962159395792,4.71924318791583,3.89328144738594,0.197281058204041,3.94562116408083
"Colin Kaepernick","QB",13,"SF",20,30,4,30,0.75,0.75,28.7405089632009,0.687247645218659,27.4899058087464,28.0581425946209,0.703488998292466,28.1395599316986
"Colin Kaepernick","QB",13,"SF",4,NA,4,0,NA,0,0,-0.192598467995242,0,0,0,0
"Connor Barth","K",5,"DEN",6,1,1,1,0.0833333333333333,0.0833333333333333,0.694572183850021,0.0497289640382685,0.596747568459222,0.700581573309344,0.0570071202647274,0.684085443176729
"Connor Barth","K",5,"DEN",16,1,1,1,0.03125,0.03125,1.02355929550948,0.0318535135868572,1.01931243477943,1.0060824697195,0.0312031558108645,0.998500985947663
"Connor Barth","K",5,"DEN",8,1,1,1,0.0625,0.0625,0.860478924473101,0.0475923595044497,0.761477752071195,0.861791070882564,0.0532848129304183,0.852557006886693
"Connor Barth","K",5,"DEN",10,1,1,1,0.05,0.05,0.960567308368701,0.0440677119970839,0.881354239941678,0.957182211728304,0.0481744626225621,0.963489252451243
"Connor Barth","K",5,"DEN",18,1,1,1,0.0277777777777778,0.0277777777777778,1.01801122831404,0.029464696138457,1.06072906098445,0.995837159474201,0.027228635561974,0.980230880231063
"Connor Barth","K",5,"DEN",4,NA,1,0,NA,0,0.447083388917566,0.0498087254032247,0.398469803225798,0.457790021426749,0.058672584430174,0.469380675441392
"Connor Barth","K",5,"DEN",20,1,1,1,0.025,0.025,1.02546329230057,0.0290318366930857,1.16127346772343,0.998591980410866,0.0252100733161123,1.00840293264449
"Connor Barth","K",5,"DEN",12,1,1,1,0.0416666666666667,0.0416666666666667,1.01060103311869,0.0398238217114866,0.955771721075677,1.00251869342844,0.0423448695364745,1.01627686887539
"Connor Barth","K",5,"DEN",14,1,1,1,0.0357142857142857,0.0357142857142857,1.02634379630499,0.0355294888429723,0.994825687603225,1.01356421356488,0.0364648338674699,1.02101534828916
"Cordarrelle Patterson","WR",92,"MIN",16,NA,0,0,NA,0,0.178276929978837,0.00718030904593861,0.229769889470036,0.288926095574226,0.00899770882951967,0.287926682544629
"Cordarrelle Patterson","WR",92,"MIN",8,NA,0,0,NA,0,0.0312700778700349,0.00212036037905466,0.0339257660648746,0.0487472151361104,0.00270834697910755,0.0433335516657207
"Cordarrelle Patterson","WR",92,"MIN",18,1,0,1,0.0277777777777778,0.0277777777777778,0.945920758050665,0.0271552083841042,0.97758750182775,1.07986293072838,0.0292799614635673,1.05407861268842
"Cordarrelle Patterson","WR",92,"MIN",20,2,0,2,0.05,0.05,2.24989429769798,0.0608194102758315,2.43277641103326,2.40712947745803,0.0632515166511767,2.53006066604707
"Cordarrelle Patterson","WR",92,"MIN",6,NA,0,0,NA,0,0.115478315993556,0.00405194117132062,0.0486232940558474,0.109662446177303,0.00433257447549146,0.0519908937058975
"Cordarrelle Patterson","WR",92,"MIN",12,NA,0,0,NA,0,0,-0.00411225733967456,0,0,0,0
"Cordarrelle Patterson","WR",92,"MIN",10,NA,0,0,NA,0,0,-0.00163526207210723,0,0,0,0
"Cordarrelle Patterson","WR",92,"MIN",14,NA,0,0,NA,0,0,-0.00220795658115733,0,0,0,0
"Cordarrelle Patterson","WR",92,"MIN",4,NA,0,0,NA,0,0.00409766901980688,0.00105681146219818,0.00845449169758547,0,0.00103009147048698,0.00824073176389584
