"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts"
"Devin Aromashodu","WR","CHI",440,12.75,NA,NA,25.5,12.75,19.125,5.22613812185705,22.75
"Devin Hester","WR","CHI",336,26.32,NA,NA,54.625,26.32,40.4725,11.9425179103179,57.89
"Devin Thomas","WR","DET",673,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Devon Wylie","WR","KC",445,12.2125,NA,NA,NA,12.2125,12.2125,2.16510616311422,10.97
"Dexter McCluster","WR","KC",188,77.5825,73.1,80.1375,55.325,77.5825,72.9004166666667,71.1439851963119,66.62
"Dez Bryant","WR","DAL",26,230.5125,241.925,235.9,219.5,230.5125,231.813541666667,234.663590560043,242.57
"Dezmon Briscoe","WR","WAS",420,14.9375,NA,NA,NA,14.9375,14.9375,2.26210142303182,NA
"Dion Lewis","RB","CLE",341,25.5875,33.3,NA,31.275,25.5875,30.0541666666667,17.8894068964598,16.56
"Dion Sims","TE","MIA",461,10.5625,NA,NA,NA,10.5625,10.5625,2.13911034545981,NA
"Diondre Borel","WR","TEN",674,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Domanique Davis","QB","ATL",490,8.198,NA,NA,NA,8.198,8.198,2.14490273177802,NA
"Domenik Hixon","WR","CAR",213,63.8,62,68.2,53.75,63.8,61.9375,59.7176493707553,83.6
"Dominique Jones","TE","IND",675,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Dominique Whaley","RB","SEA",676,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Donald Brown","RB","IND",274,40.0075,30.5,46.745,48.325,40.0075,41.3527083333333,39.1295419970241,61.33
"Donald Jones","WR","NE",269,41.38,NA,NA,NA,41.38,41.38,6.70079328464527,81.38
"Donnie Avery","WR","KC",174,86.755,66.7,97.7875,104,86.755,88.8672916666667,90.9638435350386,118.53
"Donte Stallworth","WR","WAS",677,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Dorin Dickerson","TE","BUF",534,5.3125,NA,NA,NA,5.3125,5.3125,2.22066785248001,10.83
"Doug Baldwin","WR","SEA",268,41.575,42.625,NA,NA,41.575,42.1,16.7497369977719,65.81
"Doug Martin","RB","TB",17,251.4875,242.15,259.6675,255,251.4875,251.82625,249.876396269022,274.4
"Drew Brees","QB","NO",2,326.868,319.5,335.158,327.68,326.868,326.293166666667,321.47247443389,326.58
"Drew Davis","WR","ATL",407,16.7375,NA,NA,NA,16.7375,16.7375,2.3631072597351,15.5
