"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Evan Royster","RB","WAS",210,189.3,68,43.4375,32.5,49.3925,34.3,43.4375,39.9075,44.6978391700571,-69.9741666666667,9.3,7.93181857037422,3.50440522650548,NA,1,1
"Davone Bess","WR","CLE",211,183.7,73,74.2875,77.625,76.3375,48.625,74.2875,69.0520833333333,73.3593395028317,-70.1375,25.8,13.7977825060164,6.04035739064419,NA,1,1
"Rashad Jennings","RB","OAK",212,182.3,69,42.3825,59.45,69.5125,50,42.3825,55.08625,58.0243912672022,-71.0291666666667,13.3,11.7496695875529,4.39965359124483,NA,1,1
"Golden Tate","WR","SEA",213,153.5,74,72.8925,81,105.0875,65.5,72.8925,81.3808333333333,84.8475004841691,-71.5325,12.7,17.1865413672055,4.96889394296068,1.3,2,2
"Ronnie Brown","RB","SD",214,NA,70,41.7925,47.625,43.6075,53.525,41.7925,46.4958333333333,51.2800473286815,-71.6191666666667,NA,5.19832464998741,2.8731024354049,NA,1,1
"Josh Morgan","WR","WAS",215,NA,75,71.625,69,83.05,91.375,71.625,79.0541666666667,81.1165094671861,-72.8,NA,10.3876228432367,4.08810684733366,NA,1,1
"Donnie Avery","WR","KC",216,182.9,76,70.6575,66.7,101.5375,61,70.6575,74.99625,78.7359359058052,-73.7675,23.7,18.1473915136584,6.31420159188337,NA,1,1
"Brandon Gibson","WR","MIA",217,199.8,77,70.645,69.775,87.1625,83.5,70.645,77.9264583333333,80.0724971272952,-73.78,30,8.86449104926504,5.93353952722726,NA,1,1
"Ryan Broyles","WR","DET",218,151.1,78,70.4875,75.625,91.4875,64.625,70.4875,75.4729166666667,78.5555529411982,-73.9375,19.5,11.5324745284783,5.06909057356128,1,2,2
"LaRod Stephens-Howling","RB","PIT",219,NA,71,38.9625,26.575,71.9925,NA,38.9625,45.7933333333333,33.5089734862652,-74.4491666666667,NA,23.4775792424035,7.1529441691959,NA,1,1
