"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo"
"Vincent Brown","WR",92.25,6.442973120113,2,"SD",165,126.45,63,52.625,99.8375,87,92.25,82.9114583333333,88.3185370808521,-58.0266666666667,14.85,20.8780895293567,1.2,2,1
"Golden Tate","WR",92.1025,5.05446288017303,2,"SEA",166,161.4,64,81,104.25,102.5,92.1025,95.295625,94.5666387600136,-58.1741666666667,16.7,10.7424790308926,1.5,2,1
"Jacoby Jones","WR",90.855,5.74112012149603,2,"BAL",167,156.35,65,97.3,98.9625,66.625,90.855,88.650625,90.581856834644,-59.4216666666667,16.9,14.9549209257633,1.1,2,1
"Stephen Hill","WR",90.1375,4.73841131884639,1,"NYJ",168,185.5,66,88.75,87.6625,115,90.1375,95.3375,95.95532103074,-60.1391666666667,10.6,13.1141741066679,1,1,1
"Cordarrelle Patterson","WR",89.0425,5.60870052673205,2,"MIN",169,144.55,67,69,98.55,81.7,89.0425,85.5714583333333,85.2791327826365,-61.2341666666667,19.2,12.4646890212244,1.3,2,1
"Heath Miller","TE",88.8625,6.40508113244647,2,"PIT",170,148.6,22,71.375,98.5375,93.75,88.8625,87.9729166666667,88.3267707473406,-24.75,27.1,11.8485868531512,1.6,2,1
"Joe Morgan","WR",88.2825,6.22417108809409,1,"NO",171,179,68,68.975,98.0375,NA,88.2825,85.7433333333333,78.9055465917361,-61.9941666666667,21.4,14.790585336062,1,1,1
"Rob Housler","TE",88.025,6.87493648341824,2,"ARI",172,161.3,23,75.75,95.375,67.625,88.025,81.6770833333333,82.4075756120494,-25.5875,30.5,12.3897702258759,1,2,1
"Jeremy Kerley","WR",87.445,5.52912192922458,1,"NYJ",173,179.9,69,85.25,99.5375,75.125,87.445,86.874375,86.1232928316549,-62.8316666666667,21.9,10.0226718774237,1,1,1
"Donnie Avery","WR",86.755,7.32216983547092,1,"KC",174,190.3,70,66.7,97.7875,104,86.755,88.8672916666667,90.9638435350386,-63.5216666666667,28.9,16.3748458485111,1,1,1
"Brian Quick","WR",86.475,5.28766406462824,1,"STL",175,173.8,71,83.375,90.5625,108.75,86.475,92.1989583333333,91.7498373887615,-63.8016666666667,17.9,11.3608583109948,1,1,1
"Shonn Greene","RB",85.3525,4.71252218339353,4,"TEN",176,130.3,50,86.375,97.1375,78.475,85.3525,86.385,84.8218360366818,-34.5183333333333,17.9,7.71233886919742,3.8,5,1
"Aaron Dobson","WR",85.0875,5.24351137884383,2,"NE",177,136.4,72,80.75,98,70.375,85.0875,83.5739583333333,83.4750301796094,-65.1891666666667,17.4,11.4395074513358,1.2,2,1
"Santana Moss","WR",84.95,3.01418824289515,2,"WAS",178,185.7,73,85.825,90.4625,93.375,84.95,88.678125,84.659351617542,-65.3266666666667,8.1,3.96994404610023,1,2,1
"Michael Bush","RB",84.92,4.02167411403567,2,"CHI",179,137.7,51,86.175,87.4825,76.675,84.92,83.6047916666667,80.6179835898312,-34.9508333333333,15.75,4.87239732874554,1.4,2,1
"Zach Miller","TE",83.65,7.07304579685004,2,"SEA",180,199.8,24,72.75,87.7125,73.375,83.65,79.3302083333333,77.5684744388578,-29.9625,39.1,7.47618702252915,1,2,1
"Robert Woods","WR",83.5625,4.13843134721665,2,"BUF",181,184.6,74,84.65,89.7375,75.725,83.5625,83.61875,80.6179890324934,-66.7141666666667,15.5,5.79243849773133,1,2,1
"Delanie Walker","TE",83.1,7.27183683753109,2,"TEN",182,208.4,25,67.25,88.6625,81,83.1,79.8864583333333,78.8014061294092,-30.5125,38.6,9.09599485465077,1,2,1
"Mike Goodson","RB",81.4575,4.46384339761356,1,"NYJ",183,150.4,52,93.675,86.8125,81.825,81.4575,85.6841666666667,82.8157540936873,-38.4133333333333,18.5,5.70431086985974,1,1,1
"Coby Fleener","TE",81.25,4.30254020552447,1,"IND",184,180,26,82.375,81.6625,79.625,81.25,81.2197916666667,76.5291745303959,-32.3625,23.4,1.16540296142579,1,1,1
