"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Josh Gordon","WR","CLE",42,102,0,0,0,0,0,0,0,901,5,NA,NA,118
"Lance Moore","WR","NO",37,104,0,0,0,0,0,0,0,758,7,NA,NA,117
"Chris Givens","WR","STL",41,104,0,0,0,0,0,24,0,934,4,NA,NA,117
"Danny Amendola","WR","NE",17,106,0,0,0,0,0,21,0,754,7,NA,NA,115
"Denarius Moore","WR","OAK",40,106,0,0,0,0,0,17,0,809,6,NA,NA,115
"Vernon Davis","TE","SF",5,108,0,0,0,0,0,0,0,785,6,NA,NA,114
"Andre Brown","RB","NYG",35,109,0,0,0,0,0,543,7,117,1,NA,NA,113
"Golden Tate","WR","SEA",45,110,0,0,0,0,0,25,0,687,7,NA,NA,112
"Kendall Wright","WR","TEN",49,110,0,0,0,0,0,0,0,846,5,NA,NA,112
"Ronnie Hillman","RB","DEN",37,112,0,0,0,0,0,686,2,238,2,NA,NA,111
"Emmanuel Sanders","WR","PIT",39,113,0,0,0,0,0,14,0,877,4,NA,NA,110
"Vincent Brown","WR","SD",43,114,0,0,0,0,0,0,0,723,6,NA,NA,108
"Ryan Broyles","WR","DET",48,115,0,0,0,0,0,0,0,879,4,NA,NA,107
"Vick Ballard","RB","IND",34,116,0,0,0,0,0,630,6,90,0,NA,NA,106
"Rueben Randle","WR","NYG",47,117,0,0,0,0,0,0,0,774,5,NA,NA,105
"Mark Ingram","RB","NO",36,118,0,0,0,0,0,655,5,81,0,NA,NA,103
"Geno Smith","QB","NYJ",31,119,263,144,1871,9,10,107,2,0,0,NA,NA,102
"Greg Olsen","TE","CAR",8,119,0,0,0,0,0,0,0,747,5,NA,NA,102
"Malcom Floyd","WR","SD",46,121,0,0,0,0,0,0,0,696,5,NA,NA,99
"Antonio Gates","TE","SD",9,121,0,0,0,0,0,0,0,573,7,NA,NA,99
"Kyle Rudolph","TE","MIN",6,123,0,0,0,0,0,0,0,503,8,NA,NA,98
"Owen Daniels","TE","HOU",7,123,0,0,0,0,0,0,0,702,5,NA,NA,98
"Brandon Myers","TE","NYG",10,123,0,0,0,0,0,0,0,685,5,NA,NA,98
"Jermichael Finley","TE","GB",12,123,0,0,0,0,0,0,0,743,4,NA,NA,98
"Jared Cook","TE","STL",11,127,0,0,0,0,0,0,0,662,5,NA,NA,94
"Kenny Britt","WR","TEN",38,128,0,0,0,0,0,0,0,656,5,NA,NA,93
"Martellus Bennett","TE","CHI",13,128,0,0,0,0,0,0,0,573,6,NA,NA,93
"Alshon Jeffery","WR","CHI",51,130,0,0,0,0,0,0,0,765,3,NA,NA,92
"Blaine Gabbert","QB","JAC",32,131,297,174,1746,10,14,53,1,0,0,NA,NA,90
"Andre Roberts","WR","ARI",52,132,0,0,0,0,0,21,0,678,3,NA,NA,87
"DeAndre Hopkins","WR","HOU",50,133,0,0,0,0,0,0,0,562,5,NA,NA,86
"Isaac Redman","RB","PIT",40,134,0,0,0,0,0,533,4,123,0,NA,NA,85
"Michael Floyd","WR","ARI",44,135,0,0,0,0,0,0,0,686,3,NA,NA,84
"Jacquizz Rodgers","RB","ATL",47,136,0,0,0,0,0,396,1,345,1,NA,NA,83
