"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"Brandon Marshall","WR","CHI",43,4,NA,NA,NA,1,0,104.8,1393.5,9.6,NA,0.7,41,2.07895975591138,3.51453025547748
"Stevan Ridley","RB","NE",44,13,NA,NA,NA,1248.6,10.9,8.9,77.1,0.2,NA,2.4,36,3.26856575963987,8.70901864328965
"Chris Johnson","RB","TEN",45,14,NA,NA,NA,1232.6,6.5,39.8,308.2,0.8,NA,2,34,3.19242299341093,8.96234236844178
"Julio Jones","WR","ATL",46,5,NA,NA,NA,48.9,0.1,83.5,1270.7,10,NA,0.1,36,2.46621292580409,5.59671183225769
"Reggie Bush","RB","DET",47,15,NA,NA,NA,901.7,5.1,70.6,551.1,3,NA,2.1,19,5.00863404586984,18.4890120944621
"Maurice Jones-Drew","RB","JAC",48,16,NA,NA,NA,1147.4,6.6,37.8,305.7,1.1,NA,2.2,30,3.37858085407352,9.50417876844181
"DeMarco Murray","RB","DAL",49,17,NA,NA,NA,1099.9,7,41,310,0.8,NA,1.9,23,5.55564333129886,21.3231147442355
"Demaryius Thomas","WR","DEN",49,6,NA,NA,NA,0,0,85.2,1276.8,10,NA,1.6,35,2.83318598589913,7.83365718523815
"E.J. Manuel","QB","BUF",51,28,2745.3,15.6,13.3,300.4,2.2,NA,NA,NA,NA,3.2,1,11.7741461306432,41.4359403537557
"Frank Gore","RB","SF",52,18,NA,NA,NA,1096.7,7.6,24.5,202.3,1,NA,1.7,32,2.31051396175832,2.31725547073832
"Larry Fitzgerald","WR","ARI",53,7,NA,NA,NA,0,0,89.3,1262.4,8.5,NA,0.3,30,2.96508823380147,8.11898495297699
"Andre Johnson","WR","HOU",54,8,NA,NA,NA,0,0,96.2,1356.6,6.8,NA,0.4,30,2.73220340933043,6.11940539561102
"Roddy White","WR","ATL",55,9,NA,NA,NA,0,0,90.1,1248.6,8.5,NA,0.1,29,3.59204789050496,11.7243086816452
"Randall Cobb","WR","GB",56,10,NA,NA,NA,112.9,0.4,93.7,1133.8,8.3,NA,1,30,2.43899531705333,4.55676848901718
"David Wilson","RB","NYG",57,19,NA,NA,NA,1071.2,5.8,27,258.1,1.6,NA,1.2,28,3.0195002131637,5.97700959928961
"Lamar Miller","RB","MIA",58,20,NA,NA,NA,1027.2,6.4,32.7,272.1,1.3,NA,1.3,15,5.91333972525556,21.8049766395197
