"name","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"Zach Miller","TE","SEA",85.75,-28.9125,0,38.8,7.93632455207278,6.92329618389993,1,2,1,1
"Sidney Rice","WR","SEA",121.98,-29.1066666666667,0,13.45,7.60906298983871,4.16158297988,1.7,2,1,1
"Ronnie Hillman","RB","DEN",90.4525,-29.3333333333333,0,19.45,11.1049854607439,5.36284925717858,1,2,1,1
"Zac Stacy","RB","STL",90.0475,-29.7383333333333,2.63905732961526,23.8,25.0544607638374,8.062333805866,1.9,2,1,1
"Delanie Walker","TE","TEN",84.3375,-30.325,0,38.6,9.25607345656534,7.11333269681045,1,2,1,1
"Jake Locker","QB","TEN",193.236,-32.174,3.04452243772342,18.2,27.0557938280633,7.78442716455657,1,2,1,1
"Brian Hartline","WR","MIA",118.6875,-32.3991666666667,0,14.8,10.3577686977376,4.74618188147388,1.3,2,1,1
"Coby Fleener","TE","IND",81.7625,-32.9,0,23.1,1.19637037882645,4.1656755811599,1,2,1,1
"Shonn Greene","RB","TEN",85.4575,-34.3283333333333,0,17,8.94120529253933,4.75438718629764,3.9,4,1,1
"Michael Bush","RB","CHI",85.445,-34.3408333333333,0,16.3,4.91900073482071,4.03525448925504,1.4,2,1,1
"Brandon LaFell","WR","CAR",116.64,-34.4466666666667,0,20.9,12.9099599792821,5.80695867727419,1.1,2,1,1
"Alshon Jeffery","WR","CHI",116.2625,-34.8241666666667,0,15.3,9.70815271648868,4.69555705837362,1,2,1,1
"Mike Goodson","RB","NYJ",83.8375,-35.9483333333333,0,20.1,5.27659494055273,4.49866392590416,1,2,1,1
"Greg Little","WR","CLE",114.8325,-36.2541666666667,0,12.2,12.3025182042811,4.77983698588863,1.3,2,1,1
"DeAndre Hopkins","WR","HOU",114.025,-37.0616666666667,0,15.7,14.9334718243671,5.57535499275689,1.3,2,1,1
"Brent Celek","TE","PHI",76.2,-38.4625,0,32.8,3.10834729666211,5.5086470449099,1.1,2,1,1
"Rueben Randle","WR","NYG",111.8375,-39.2491666666667,0,18.6,12.9119267176708,5.56146053402474,1,2,1,1
"Rod Streater","WR","OAK",110.825,-40.2616666666667,3.13549421592915,23.2,20.6860812705871,7.29843461480795,1,2,1,1
"Tyler Eifert","TE","CIN",74.3125,-40.35,0,22.25,10.6367141307831,5.58708736724846,1.1,2,1,1
"Joseph Randle","RB","DAL",79.2925,-40.4933333333333,0,19.85,13.0298114114007,5.71393870068513,1,2,1,1
"Marcel Reece","RB","OAK",77.9775,-41.8083333333333,0,17.95,10.5483649996891,5.1133708509724,1,2,1,1
"James Casey","TE","PHI",72.5125,-42.15,2.89037175789616,5,23.4143685853367,5.79035050785281,1,2,1,1
"Scott Chandler","TE","BUF",72.1875,-42.475,0,NA,5.54625906204654,3.48069573803076,1,2,1,1
"Brandon Weeden","QB","CLE",182.298,-43.112,0,38.3,19.3763401084931,8.70244326218584,1,2,1,1
"Mike Tolbert","RB","CAR",75.68,-44.1058333333333,3.61091791264422,21.8,32.3989057171175,9.02509538261788,1,2,1,1
"Jacob Tamme","TE","DEN",70.1375,-44.525,0,31.5,12.776403930521,6.91844244320104,1,2,1,1
"Joel Dreessen","TE","DEN",67.5625,-47.1,0,NA,10.2844156727141,4.99871350800083,1,2,1,1
"Ryan Williams","RB","ARI",72.6225,-47.1633333333333,0,23.5,21.3221045806928,7.43238225993535,1,2,1,1
"Ryan Broyles","WR","DET",102.7125,-48.3741666666667,0,19.75,15.9121841419293,6.16498063442501,1.1,2,1,1
"Mohamed Sanu","WR","CIN",102.1675,-48.9191666666667,0,22.4,16.6872816309058,6.57236363897244,1.3,2,1,1
"Robert Turbin","RB","SEA",70.23,-49.5558333333333,0,20.3,7.54517599060264,4.88344469776295,1,2,1,1
"Tony Scheffler","TE","DET",64.925,-49.7375,0,NA,11.7737171983476,5.47585817976312,1,2,1,1
"Jake Ballard","TE","NE",64.8375,-49.825,0,20.65,12.6975324661592,5.74621092784195,1.6,2,1,1
"Andre Roberts","WR","ARI",101.1875,-49.8991666666667,0,20.1,6.99178833823412,4.77342205132721,1.5,2,1,1
"Darrius Heyward-Bey","WR","IND",100.425,-50.6616666666667,0,12.9,16.0248192104987,5.45092790657555,1.1,2,1,1
"Aaron Hernandez","TE","NE",61.2625,-53.4,0,60.4,11.3755803423386,9.78273970731384,13.2,14,1,1
"Daniel Thomas","RB","MIA",65.23,-54.5558333333333,0,22.2,5.62996683493784,4.77970897246418,1,2,1,1
"LaMichael James","RB","SF",64.5575,-55.2283333333333,0,18.1,15.3406715683071,5.89708535403481,1,2,1,1
"Malcom Floyd","WR","SD",95.3125,-55.7741666666667,0,18.2,4.2636606435472,4.13333814063914,1,2,1,1
"Travis Kelce","TE","KC",58.5875,-56.075,0,NA,2.14229481709062,2.39012853293834,1,2,1,1
"Kendall Hunter","RB","SF",63.44,-56.3458333333333,0,21.1,20.8972508533818,7.10782389373168,1,2,1,1
"Ed Dickson","TE","BAL",58.275,-56.3875,0,NA,7.10550970931478,3.98025081501186,1,2,1,1
"Golden Tate","WR","SEA",94.15,-56.9366666666667,0,15.5,10.8452244434667,4.89908049742889,1.6,2,1,1
"Toby Gerhart","RB","MIN",62.7375,-57.0483333333333,0,25.2,2.77876499471138,4.64359870544463,1,2,1,1
"Luke Stocker","TE","TB",57.0375,-57.625,0,NA,6.57888430890831,3.81152977397772,1,2,1,1
"Willis McGahee","RB","FA/DEN",61.73,-58.0558333333333,0,34.7,27.1546912767082,9.56371211856564,3.4,4,1,1
"Anthony Fasano","TE","KC",56.3125,-58.35,0,NA,9.25977805259572,4.67043855997197,1,2,1,1
"Aaron Dobson","WR","NE",92.1375,-58.9491666666667,0,17.4,12.2678245108563,5.33003095176789,1.2,2,1,1
"Nate Burleson","WR","DET",91.6975,-59.3891666666667,0,12.6,3.206424865277,3.36547704709267,1,2,1,1
"Christian Ponder","QB","MIN",165.852,-59.558,0,25.1,24.6591969252853,8.13795408683236,1,2,1,1
"Jacoby Jones","WR","BAL",90.3625,-60.7241666666667,0,20.1,14.3251540676706,5.94815944454792,1.1,2,1,1
"Kellen Winslow","TE","NYJ",53.8875,-60.775,0,NA,8.12288914888047,4.30620037619475,1,2,1,1
"David Ausberry","TE","OAK",53.725,-60.9375,0,NA,1.1932426932523,2.0860697803486,1,2,1,1
"Stephen Hill","WR","NYJ",90.0375,-61.0491666666667,0,14.5,13.1276068839678,5.15782176102376,1,2,1,1
"Joe Morgan","WR","NO",89.795,-61.2916666666667,0,20.5,13.6630469545901,5.88484612732311,1,2,1,1
"Donnie Avery","WR","KC",89.77,-61.3166666666667,0,29.5,17.0396526978252,7.38762487647917,1,2,1,1
"Santana Moss","WR","WAS",89.7375,-61.3491666666667,0,12.6,3.14361745910132,3.35541588127496,1,2,1,1
"LaRod Stephens-Howling","RB","PIT",58.31,-61.4758333333333,0,24.9,23.2990355218837,7.89869374406802,1,2,1,1
"Jeff Cumberland","TE","NYJ",52.8125,-61.85,0,22,17.6063746149891,6.67684371690913,1,2,1,1
"Jeremy Kerley","WR","NYJ",88.3525,-62.7341666666667,0,22.2,10.3949789562077,5.54301986196972,1,2,1,1
"Robert Woods","WR","BUF",87.5875,-63.4991666666667,0,15.8,6.16345918836709,4.18116757712555,1,2,1,1
"Garrett Graham","TE","HOU",51.15,-63.5125,0,NA,1.54679608384557,2.19934174952442,1,2,1,1
"Rashad Jennings","RB","OAK",56.26,-63.5258333333333,0,19.3,8.14599348734293,4.8728148033593,1,2,1,1
"Vincent Brown","WR","SD",87.4875,-63.5991666666667,0.693147180559945,14.5,19.466497328209,6.17325340743528,1.1,2,1,1
"Mike Gillislee","RB","MIA",56.0075,-63.7783333333333,0,20.7,7.09059500324197,4.8533751473088,1,2,1,1
"Knile Davis","RB","KC",55.8575,-63.9283333333333,0,30.7,24.1226947516925,8.65051309452578,1,2,1,1
"Denard Robinson","RB","JAC",55.655,-64.1308333333333,0,18.8,17.9189847386089,6.38491999952391,1,2,1,1
"Brian Quick","WR","STL",86.2625,-64.8241666666667,0,19.1,11.7483393108345,5.42850224018802,1,2,1,1
"Matt Flynn","QB","OAK",159.328,-66.082,1.79175946922805,34.9,32.6811104666493,10.4703684418685,1,2,1,1
"Cordarrelle Patterson","WR","MIN",83.3675,-67.7191666666667,0,18.3,10.1830612006737,5.09225891558505,1.4,2,1,1
"Tony Moeaki","TE","KC",46.1875,-68.475,0,NA,5.15812970788185,3.3563462694331,1,2,1,1
"Isaac Redman","RB","PIT",50.715,-69.0708333333333,0,14.8,7.72957156396782,4.32516899820777,1,2,1,1
"Zach Ertz","TE","PHI",45.425,-69.2375,0,33.7,14.1195504790049,7.36872776921077,2.2,3,1,1
"Josh Morgan","WR","WAS",81.445,-69.6416666666667,0,31,9.23493232243745,6.29769378090572,1,2,1,1
"A.J. Jenkins","WR","SF",80.2975,-70.7891666666667,0,21.6,7.78367107582705,5.06058729924568,1,2,1,1
"Knowshon Moreno","RB","DEN",48.8025,-70.9833333333333,0,30.7,7.97612854475779,6.06398246245028,4,5,1,1
