"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Julius Thomas","TE","DEN",47,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,226,14.4,1.7,NA,0.3,24.6
"Evan Royster","RB","WAS",85,269,NA,NA,NA,NA,NA,NA,NA,45,205,4.6,0.7,11.7,85.3,7.3,0.7,NA,0,24.4
"Lance Kendricks","TE","STL",48,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,212,11.2,1.7,NA,0,24.2
"Montario Hardesty","RB","CLE",86,270,NA,NA,NA,NA,NA,NA,NA,65.3,263.3,4,0.7,7.3,63.3,8.7,0,NA,0,24.2
"Ronnie Brown","RB","SD",87,272,NA,NA,NA,NA,NA,NA,NA,54.7,222.7,4.1,0.7,18,142.7,7.9,0,NA,0.7,22.8
"Brian Leonard","RB","TB",88,273,NA,NA,NA,NA,NA,NA,NA,42.7,184,4.3,0.7,20,145.7,7.3,0,NA,0,22.2
"Jason Snelling","RB","ATL",89,274,NA,NA,NA,NA,NA,NA,NA,28,124,4.4,0.7,19,154,8.1,1,NA,0.3,21.6
"Jeff King","TE","ARI",49,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,166,9.8,2,NA,0,21
"Ryan Fitzpatrick","QB","TEN",39,275,63.3,38.7,377,3,1.7,61.1,6,2.7,8.3,3.1,0.3,NA,NA,NA,NA,NA,0.7,21
"Andre Ellington","RB","ARI",90,277,NA,NA,NA,NA,NA,NA,NA,41.3,203.3,4.9,0.3,12.7,101,8,0.3,NA,0,19.6
"Mike James","RB","TB",91,278,NA,NA,NA,NA,NA,NA,NA,47,199.3,4.2,0.7,6,49.3,8.2,0.3,NA,0.3,19.4
"Kenjon Barner","RB","CAR",92,279,NA,NA,NA,NA,NA,NA,NA,43.7,216,4.9,0.7,5,40.7,8.1,0,NA,0.3,18.6
"Chris Polk","RB","PHI",93,280,NA,NA,NA,NA,NA,NA,NA,42.3,194.7,4.6,1,5.7,40.3,7.1,0,NA,0.3,18.4
"Armando Allen","RB","CHI",94,281,NA,NA,NA,NA,NA,NA,NA,38.3,160.3,4.2,0.7,8.7,80,9.2,0,NA,0,17.2
"Phillip Tanner","RB","DAL",95,281,NA,NA,NA,NA,NA,NA,NA,49.3,198.7,4,0.7,5,45.3,9.1,0,NA,0,17.2
"Jorvorskie Lane","RB","MIA",96,283,NA,NA,NA,NA,NA,NA,NA,19,61.7,3.2,1.7,8.3,58,7,0.7,NA,0.7,17
"Shaun Draughn","RB","KC",97,284,NA,NA,NA,NA,NA,NA,NA,39.3,171,4.4,1,6.7,51.7,7.7,0,NA,0.3,16.4
"Brandon Bolden","RB","NE",98,285,NA,NA,NA,NA,NA,NA,NA,37.3,165.7,4.4,1,2.7,25.3,9.4,0,NA,0,16
"Jed Collins","RB","NO",99,286,NA,NA,NA,NA,NA,NA,NA,2,4.3,2.1,0.7,9,49.3,5.5,1.3,NA,0,14
"Kevin Kolb","QB","BUF",40,287,57.7,36,282.3,2,1.7,62.4,4.9,4.7,14.7,3.1,0,NA,NA,NA,NA,NA,0.3,12
"Jason Campbell","QB","CLE",41,288,35.7,21,266,2,2,58.8,7.5,3.7,14.7,4,0,NA,NA,NA,NA,NA,0.3,11.4
"Bruce Gradkowski","QB","PIT",42,289,37.7,23,261.3,1,1,61,6.9,2.7,6.3,2.3,0,NA,NA,NA,NA,NA,0.3,7.4
"Matt Cassel","QB","MIN",43,290,28.3,18.7,159.3,1.3,1.3,66.1,5.6,3.7,9.3,2.5,0,NA,NA,NA,NA,NA,0.3,6.6
"Graham Harrell","QB","GB",44,291,9.3,6,63,0.7,0,64.5,6.8,1,4,4,0,NA,NA,NA,NA,NA,0,5.2
"Drew Stanton","QB","ARI",45,292,18.7,12.7,117,0.7,0.3,67.9,6.3,0.7,2.3,3.3,0,NA,NA,NA,NA,NA,0.3,5
"Charlie Whitehurst","QB","SD",46,293,20,11,117.3,0.7,0.7,55,5.9,0,0,0,0,NA,NA,NA,NA,NA,0,4.8
"Tyrod Taylor","QB","BAL",47,293,15,9.3,105.3,0.3,0,62,7,3.7,17.3,4.7,0,NA,NA,NA,NA,NA,0,4.8
"Tyler Wilson","QB","OAK",48,295,11.3,7,70.3,0.7,0.3,61.9,6.2,0.7,2.7,3.9,0,NA,NA,NA,NA,NA,0.3,4
"Dennis Dixon","QB","PHI",49,296,7.7,5,37.3,0.3,0,64.9,4.8,3.7,21.7,5.9,0,NA,NA,NA,NA,NA,0,3.8
"Brian Hoyer","QB","CLE",50,297,5,3,38.3,0.3,0,60,7.7,1,3.7,3.7,0,NA,NA,NA,NA,NA,0,2.8
"Brock Osweiler","QB","DEN",51,297,12.7,8.3,89,0.3,0,65.4,7,2,3.7,1.9,0,NA,NA,NA,NA,NA,0,2.8
"Chase Daniel","QB","KC",52,299,11.7,8,78.3,0.3,0.3,68.4,6.7,1,3.3,3.3,0,NA,NA,NA,NA,NA,0,2.2
"Josh McCown","QB","CHI",54,300,17,9.3,100.3,0.3,0.7,54.7,5.9,2,8.7,4.3,0,NA,NA,NA,NA,NA,0.3,1.8
"Kyle Orton","QB","DAL",53,300,5,3.3,26,0.3,0,66,5.2,0.7,0.7,1,0,NA,NA,NA,NA,NA,0,1.8
"Ryan Mallett","QB","NE",55,300,3.7,2.3,22.7,0.3,0,62.2,6.1,0,0,0,0,NA,NA,NA,NA,NA,0,1.8
"Shaun Hill","QB","DET",56,300,5,3,25.3,0.3,0,60,5.1,0.7,0.7,1,0,NA,NA,NA,NA,NA,0,1.8
"Curtis Painter","QB","NYG",57,304,5.7,3.3,34,0,0,57.9,6,1,4.7,4.7,0,NA,NA,NA,NA,NA,0,1
"Dan Orlovsky","QB","TB",60,305,1.3,0.7,6.7,0,0,53.8,5.2,0.7,0.7,1,0,NA,NA,NA,NA,NA,0,0
"David Carr","QB","NYG",59,305,1.7,1,7.7,0,0,58.8,4.5,0,0,0,0,NA,NA,NA,NA,NA,0,0
"T.J. Yates","QB","HOU",58,305,13.7,8,74.3,0.3,0.7,58.4,5.4,2.7,9.3,3.4,0,NA,NA,NA,NA,NA,0.7,0
