"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"C.J. Spiller","RB",240.745,2.2497526056512,72,"BUF",18,4.65,5,245.425,243.7175,252.45,240.745,244.867708333333,237.037529278417,120.874166666667,2.55,4.96880199134225,57.7,65,52,3.43398720448515
"Caleb Hanie","QB",NA,NA,1,"BAL",652,NA,83,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Calvin Johnson","WR",267.1675,4.20626442441382,76,"DET",14,8.6,1,285.75,270.8375,246.25,267.1675,267.399583333333,290.206130209881,116.890833333333,2.75,16.2877710389318,61,69,73,10.6802403169509
"Cam Newton","QB",310.062,4.53800348689274,38,"CAR",3,43.5,3,316.92,328.618,295.52,310.062,311.98,332.083968357753,86.306,10,13.8236146744137,30.3,35,23,8.6347984334905
"Carlton Mitchell","WR",0.55,NA,1,"DAL",618,NA,230,NA,NA,NA,0.55,0.55,2.51088979260948,-149.726666666667,NA,NA,1,1,1,NA
"Carson Palmer","QB",206.22,3.23786491452909,2,"ARI",46,128.1,25,211.58,209.95,210.74,206.22,208.355833333333,197.004935537041,-17.536,16.35,2.36395678189485,1.1,2,1,0
"Case Keenum","QB",NA,NA,1,"HOU",653,NA,84,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Cecil Shorts","WR",167.7,3.72794250664523,4,"JAC",78,72.2,26,157.25,178.4,171,167.7,168.520833333333,168.4944411599,17.4233333333333,10.5,8.78316334433861,3.4,4,1,8.63976474380442
"Cedric Benson","RB",15.9975,8.77816668854262,1,"FA",413,213,119,57.725,NA,NA,15.9975,36.41125,7.95732009744273,-103.873333333333,25,29.5057982119617,1,1,1,0
"Cedric Peerman","RB",17.205,NA,1,"CIN",401,NA,114,NA,NA,NA,17.205,17.205,2.39414781467366,-102.665833333333,NA,NA,1,1,1,NA
