"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Rashard Mendenhall","RB",150.325,4.88605712825817,4,"ARI",93,72.3,26,124.65,153.3675,157.95,150.325,146.239791666667,154.256167859863,30.4541666666667,11.5,14.9476507874147,3.5,4,1,7.06304816338817
"Ray Graham","RB",NA,NA,1,"HOU",748,NA,222,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ray Rice","RB",234.675,2.32762851683963,67,"BAL",22,7.95,7,247.25,238,238.2,234.675,239.172916666667,232.209708746739,114.804166666667,2.6,5.39379948799236,53.4,61,47,4.23410650459726
"Raymond Radway","WR",NA,NA,1,"STL",749,NA,280,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Reagan Maui'a","RB",1.0875,NA,1,"ARI",603,NA,187,NA,NA,NA,1.0875,1.0875,2.46783694200258,-118.783333333333,NA,NA,1,1,1,NA
"Reggie Bush","RB",199.3475,5.00863404586984,16,"DET",51,25.4,14,176.55,208.045,220.375,199.3475,200.604375,220.139181900218,79.4766666666667,6.85,18.4890120944621,13.8,16,23,10.8192181275517
"Reggie Wayne","WR",187.325,3.56724216900779,16,"IND",58,44.1,14,181.25,186.6375,203.75,187.325,189.640625,191.487404563962,37.0483333333333,7.4,9.72656036646563,13.7,16,12,9.68632607289947
"Rex Burkhead","RB",9.99,2.9670127509799,1,"CIN",468,NA,138,16.25,NA,NA,9.99,13.12,4.35591772878394,-109.880833333333,NA,4.42648845022779,1,1,1,0
"Rex Grossman","QB",NA,NA,1,"WAS",750,NA,101,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Rhett Ellison","TE",7.925,NA,1,"MIN",498,NA,99,NA,NA,NA,7.925,7.925,2.14883670114216,-105.6875,NA,NA,1,1,1,NA
"Ricardo Lockette","WR",23.5625,NA,1,"SF",352,NA,153,NA,NA,NA,23.5625,23.5625,3.01302886636336,-126.714166666667,NA,NA,1,1,1,NA
"Richard Bartel","QB",NA,NA,1,NA,751,NA,102,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Richard Goodman","WR",NA,NA,1,"SD",752,NA,281,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Richard Gordon","TE",22.6625,NA,1,"OAK",360,NA,63,NA,NA,NA,22.6625,22.6625,2.9031433412606,-90.95,NA,NA,1,1,1,NA
"Richard Quinn","TE",NA,NA,1,"CIN",753,NA,148,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Richie Brockel","TE",4.4,NA,1,"CAR",549,NA,105,NA,NA,NA,4.4,4.4,2.26034352242016,-109.2125,NA,NA,1,1,1,NA
"Ricky Stanzi","QB",NA,NA,1,"KC",754,NA,103,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Riley Cooper","WR",29.525,6.38532666940303,1,"PHI",316,186.7,134,NA,NA,NA,29.525,29.525,3.92657198527263,-120.751666666667,26.8,NA,1,1,1,NA
"Rishard Matthews","WR",27.525,4.43990633852678,1,"MIA",327,NA,142,NA,NA,39.875,27.525,33.7,10.8899547491137,-122.751666666667,NA,8.73276874765386,1,1,1,0
"Rob Gronkowski","TE",183.725,4.03793170093087,16,"NE",64,48.2,2,200.25,189.0375,176.875,183.725,187.221875,189.399525283263,70.1125,11.7,9.86685515902441,13.6,16,34,11.4129835753393
"Rob Housler","TE",88.025,5.79909481474733,2,"ARI",172,157.2,23,75.75,95.375,67.625,88.025,81.6770833333333,82.4075756120494,-25.5875,24.5,12.3897702258759,1,2,1,0
"Robert Gill","WR",NA,NA,1,"ARI",755,NA,282,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Robert Griffin III","QB",279.746,4.32020339908172,14,"WAS",11,68.15,10,268.08,296.222,283.78,279.746,280.548666666667,292.12306496085,55.99,11.55,11.6085199171413,10.7,13,1,7.96762673933382
"Robert Hughes","RB",0.59,NA,1,NA,615,NA,192,NA,NA,NA,0.59,0.59,2.50759561793177,-119.280833333333,NA,NA,1,1,1,NA
"Robert Meachem","WR",31.1175,3.56678900972244,1,"SD",308,NA,130,31.225,NA,41.875,31.1175,34.7391666666667,21.2017169849756,-119.159166666667,NA,6.18004668941371,1,1,1,0
"Robert Turbin","RB",69.2675,5.08621768425376,1,"SEA",204,175.8,58,81.725,70.4875,63.525,69.2675,71.2345833333333,69.0837530231987,-50.6033333333333,25.5,7.61386796685276,1,1,1,0
"Robert Woods","WR",83.5625,3.96443530082921,2,"BUF",181,177.1,74,84.65,89.7375,75.725,83.5625,83.61875,80.6179890324934,-66.7141666666667,17.7,5.79243849773133,1.1,2,1,0
"Roberto Wallace","WR",1.1625,NA,1,"TEN",599,NA,227,NA,NA,NA,1.1625,1.1625,2.46203788277217,-149.114166666667,NA,NA,1,1,1,NA
"Rod Streater","WR",108.1125,6.96154507084001,1,"OAK",138,166.6,56,80.25,118.5375,NA,108.1125,101.966666666667,106.758242100005,-42.1641666666667,23.5,19.7944949733505,1,1,1,3.36729582998647
"Roddy White","WR",208.3875,3.59204789050496,37,"ATL",42,29.9,8,209.25,215.55,188.5,208.3875,205.413541666667,212.270652241254,58.1108333333333,4.35,11.7243086816452,32.4,37,30,9.43300380805352
"Rodney Smith","WR",NA,NA,1,"MIN",756,NA,283,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ronnie Brown","RB",43.8225,5.20031252393142,1,"SD",264,209.5,74,47.625,43.6075,53.525,43.8225,47.0366666666667,44.9598187622308,-76.0483333333333,31.5,4.63636756164421,1,1,1,0
"Ronnie Hillman","RB",93.05,5.31689459234599,2,"DEN",162,101,48,75.85,110.1925,82.5,93.05,90.2314583333333,92.7700675210256,-26.8208333333333,15.6,14.9764041321396,1.6,2,1,0
"Ronnie Wingo","RB",NA,NA,1,"ATL",757,NA,223,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Roy Helu","RB",39.4175,6.33126900839737,1,"WAS",277,155,80,25.55,52.4075,53.575,39.4175,42.5875,39.8362475859821,-80.4533333333333,28.4,13.13256591455,1,1,1,0
"Roy Roundtree","WR",NA,NA,1,NA,758,NA,284,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Rueben Randle","WR",110.6625,4.89532742434074,2,"NYG",137,130.75,55,101,124.65,95.375,110.6625,107.876041666667,110.291675450083,-39.6141666666667,15.1,12.815064275915,1,2,1,0
"Russell Shepard","WR",NA,NA,1,"PHI",759,NA,285,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Russell Wilson","QB",281.344,3.4591861424644,18,"SEA",10,77,9,287.84,286.58,274.8,281.344,281.416,275.983385757127,57.588,12.6,5.93601471247055,14.2,16,2,4.7361984483945
"Rusty Smith","QB",NA,NA,1,"TEN",760,NA,104,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ryan Broyles","WR",106.575,6.74964268577584,2,"DET",142,129.05,57,75.625,131.6125,95.125,106.575,102.184375,112.166367101957,-43.7016666666667,15.55,23.3845911138617,1,2,1,4.60517018598809
"Ryan D'Imperio","RB",10.2025,NA,1,NA,467,NA,137,NA,NA,NA,10.2025,10.2025,2.13671987886568,-109.668333333333,NA,NA,1,1,1,NA
"Ryan Fitzpatrick","QB",35.946,7.21337383238836,1,"TEN",294,237.5,37,NA,23.91,NA,35.946,29.928,11.4057623428149,-187.81,44.5,8.51073721836128,1,1,1,0
"Ryan Griffin","TE",8.0125,NA,1,"HOU",495,NA,98,NA,NA,NA,8.0125,8.0125,2.14750220879569,-105.6,NA,NA,1,1,1,NA
"Ryan Katz","QB",NA,NA,1,"DEN",761,NA,105,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ryan Lindley","QB",NA,NA,1,"ARI",762,NA,106,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ryan Mallett","QB",2.682,1.59182836037372,1,"NE",573,NA,65,NA,2.108,NA,2.682,2.395,2.80024613281017,-221.074,NA,0.405879292401078,1,1,1,0
"Ryan Mathews","RB",149.9475,3.09924491845315,10,"SD",94,56.3,27,152.75,147.495,141.2,149.9475,147.423125,142.639742060261,30.0766666666667,10.8,4.92470023410902,9.1,11,1,0
"Ryan Nassib","QB",0.882,NA,1,"NYG",608,NA,72,NA,NA,NA,0.882,0.882,2.48398775999891,-222.874,NA,NA,1,1,1,NA
"Ryan Otten","TE",NA,NA,1,"JAC",763,NA,149,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ryan Spadola","WR",NA,NA,1,"NYJ",764,NA,286,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Ryan Swope","WR",26.605,3.51360380317299,1,"ARI",333,NA,146,NA,NA,35.125,26.605,30.865,10.0510462267821,-123.671666666667,NA,6.02454977570939,1,1,1,0
"Ryan Tannehill","QB",206.474,11.1559014924325,3,"MIA",45,158.5,24,203.66,231.37,123.46,206.474,190.407666666667,268.502728636526,-17.282,19.3,46.8717272706408,1.8,3,1,8.05515773181968
"Ryan Taylor","TE",2.275,NA,1,"GB",579,NA,113,NA,NA,NA,2.275,2.275,2.38200933966908,-111.3375,NA,NA,1,1,1,NA
"Ryan Torain","RB",15.7825,NA,1,"NYG",415,NA,120,NA,NA,NA,15.7825,15.7825,2.30585861862716,-104.088333333333,NA,NA,1,1,1,NA
"Ryan Whalen","WR",2.225,NA,1,"CIN",580,NA,222,NA,NA,NA,2.225,2.225,2.38536521930422,-148.051666666667,NA,NA,1,1,1,NA
"Ryan Williams","RB",70.3175,7.25214653643246,1,"ARI",201,162.7,57,113.425,64.8075,82.65,70.3175,82.6,84.5295001085863,-49.5533333333333,23.1,21.7367276554376,1,1,1,0
"Saalim Hakim","WR",NA,NA,1,"NO",765,NA,287,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Sam Bradford","QB",211.842,5.19448460452837,2,"STL",39,136,22,201.32,220.572,187.68,211.842,204.0785,217.605127394488,-11.914,15.75,14.1695106831535,1.1,2,1,0
"Sam McGuffie","WR",NA,NA,1,"OAK",766,NA,288,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Santana Moss","WR",84.95,4.12023125426262,2,"WAS",178,180.3,73,85.825,90.4625,93.375,84.95,88.678125,84.659351617542,-65.3266666666667,22.2,3.96994404610023,1.4,2,1,0
"Santonio Holmes","WR",121.6125,5.45343907833578,2,"NYJ",121,171.4,49,101.25,131.2125,114.5,121.6125,116.91875,120.079532289596,-28.6641666666667,20.8,12.6161293093405,1.1,2,1,0
"Scott Chandler","TE",71.225,6.2150166557244,2,"BUF",200,202.2,30,NA,77.0125,83.25,71.225,77.1625,63.4366631278692,-42.3875,39,6.0139031626723,1.2,2,1,0
"Scott Tolzien","QB",NA,NA,1,"SF",767,NA,107,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Sean McGrath","TE",11.05,NA,1,"SEA",454,NA,87,NA,NA,NA,11.05,11.05,2.14422099769507,-102.5625,NA,NA,1,1,1,NA
"Sean Renfree","QB",NA,NA,1,"ATL",768,NA,108,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Seneca Wallace","QB",4.27,NA,1,"NO",552,NA,61,NA,NA,NA,4.27,4.27,2.26661051919893,-219.486,NA,NA,1,1,1,NA
"Seth Doege","QB",NA,NA,1,"ATL",769,NA,109,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Shane Vereen","RB",137.265,6.18044567811096,2,"NE",108,67.3,31,142.95,159.0425,107.075,137.265,136.424791666667,151.043565759154,17.3941666666667,12.8,21.7267501572562,1.7,2,1,7.48493028328966
"Shaun Chapas","RB",6.4475,2.91682795304624,1,"DET",517,NA,155,NA,NA,12.5,6.4475,9.47375,3.49227046955804,-113.423333333333,NA,4.27976379313158,1,1,1,0
"Shaun Draughn","RB",30.5325,7.68327917916764,1,"KC",310,206,91,58.45,30.9325,26.95,30.5325,36.46625,32.7702893630841,-89.3383333333333,39,14.5993841907801,1,1,1,0
"Shaun Hill","QB",5.012,2.11326654998802,1,"DET",540,NA,59,NA,2.282,NA,5.012,3.647,2.83016683369738,-218.744,NA,1.93040151263927,1,1,1,0
"Shonn Greene","RB",85.3525,4.85373875920715,4,"TEN",176,133.9,50,86.375,97.1375,78.475,85.3525,86.385,84.8218360366818,-34.5183333333333,23.1,7.71233886919742,3.4,4,1,0
"Sidney Rice","WR",124.7675,4.08587900457738,2,"SEA",117,118.9,46,138.85,123.75,125.875,124.7675,128.438125,125.618462969425,-25.5091666666667,16.75,7.07963581190209,1.5,2,1,0
"Spencer Ware","RB",11.375,NA,1,"SEA",450,NA,130,NA,NA,NA,11.375,11.375,2.14882555772635,-108.495833333333,NA,NA,1,1,1,NA
"Stanley Havili","RB",9.0925,NA,1,"IND",475,NA,140,NA,NA,NA,9.0925,9.0925,2.13674863202459,-110.778333333333,NA,NA,1,1,1,NA
"Stedman Bailey","WR",43.5675,6.34755897784346,1,"STL",266,NA,112,41.625,NA,67.325,43.5675,50.6391666666667,33.5419429550541,-106.709166666667,NA,14.3101485695758,1,1,1,0
"Stefan Logan","RB",3.1375,NA,1,NA,569,NA,176,NA,NA,NA,3.1375,3.1375,2.32768940925916,-116.733333333333,NA,NA,1,1,1,NA
"Stepfan Taylor","RB",33.865,6.69024922094995,1,"ARI",299,176.4,87,12.9,44.475,16.95,33.865,27.0391666666667,23.8500276869243,-86.0058333333333,29.2,14.7457036115609,1,1,1,0
"Stephen Burton","WR",9.5875,NA,1,"MIN",471,NA,194,NA,NA,NA,9.5875,9.5875,2.13535531711096,-140.689166666667,NA,NA,1,1,1,NA
"Stephen Hill","WR",90.1375,5.87103865299218,1,"NYJ",168,171.6,66,88.75,87.6625,115,90.1375,95.3375,95.95532103074,-60.1391666666667,24,13.1141741066679,1,1,1,0
"Stephen McGee","QB",NA,NA,1,"HOU",770,NA,110,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Stephen Williams","WR",NA,NA,1,"SEA",771,NA,289,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Stevan Ridley","RB",198.965,3.26856575963987,34,"NE",52,19.05,15,189.325,199.4925,210.625,198.965,199.076875,199.845931943739,79.0941666666667,6.2,8.70901864328965,29.8,34,19,7.24136628332232
"Steve Johnson","WR",163.0125,3.12701818986641,4,"BUF",81,82.8,27,156,168.8125,162.75,163.0125,162.452083333333,157.354284823982,12.7358333333333,10.55,5.23896160989943,3.4,4,1,5.50938833662798
"Steve Maneri","TE",12.1,NA,1,"CHI",446,NA,84,NA,NA,NA,12.1,12.1,2.16254935022926,-101.5125,NA,NA,1,1,1,NA
"Steve Smith","WR",176.755,3.23139216499131,6,"CAR",70,64,19,167.925,179.55,185.65,176.755,178.61,175.174825866953,26.4783333333333,8.05,7.36788187563653,5.9,7,7,9.6545132411874
"Steven Jackson","RB",207.63,3.01733194015222,38,"ATL",43,17.2,12,203.975,215.605,195.675,207.63,205.454583333333,205.459591087579,87.7591666666667,4.5,8.27261282284302,33.1,38,29,8.02322468471667
"Steven Miller","RB",NA,NA,1,"DET",772,NA,224,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"T.J. Graham","WR",63.725,5.87573778831018,1,"BUF",214,258,87,46.7,77.0375,38.125,63.725,56.7177083333333,56.5105691776661,-86.5516666666667,17,17.39375,1,1,1,0
"T.J. Moe","WR",NA,NA,1,"NE",773,NA,290,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"T.J. Yates","QB",NA,NA,1,"HOU",774,NA,111,NA,2.302,NA,NA,2.302,2.36064231472307,NA,NA,NA,1,1,1,NA
"T.Y. Hilton","WR",157.0425,3.29399695087224,3,"IND",87,68.85,31,150.85,164.1375,153.875,157.0425,156.82875,152.014369900366,6.76583333333332,11.4,5.69902275979546,2.5,3,1,4.33073334028633
"Taiwan Jones","RB",17.625,NA,1,"OAK",397,NA,112,NA,NA,17.625,17.625,17.625,5.9250964020647,-102.245833333333,NA,NA,1,1,1,NA
"Tandon Doss","WR",43.8925,3.78508542091049,1,"BAL",263,NA,111,NA,NA,34.25,43.8925,39.07125,15.6468225204131,-106.384166666667,NA,6.81827713759128,1,1,1,0
"Tarvaris Jackson","QB",1.622,NA,1,"SEA",587,NA,67,NA,NA,NA,1.622,1.622,2.42762272799837,-222.134,NA,NA,1,1,1,NA
"Tashard Choice","RB",16.6675,2.72664172793002,1,"BUF",408,NA,116,9.825,NA,10.7,16.6675,12.1475,7.82536516100868,-103.203333333333,NA,3.72371873937869,1,1,1,0
"Tauren Poole","RB",NA,NA,1,"CAR",775,NA,225,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Tavarres King","WR",21.6375,4.11037965329975,1,"DEN",365,NA,160,NA,NA,32.625,21.6375,27.13125,8.25689514528727,-128.639166666667,NA,7.76933575828719,1,1,1,0
"Tavon Austin","WR",152.275,3.6715335041527,4,"STL",90,86.9,33,140.675,151.0375,153.575,152.275,152.098958333333,145.426156078618,1.99833333333333,14.7,5.90205980110616,3.4,4,1,1.09861228866811
"Taylor Price","WR",7.6,NA,1,NA,502,NA,202,NA,NA,NA,7.6,7.6,2.1544013274904,-142.676666666667,NA,NA,1,1,1,NA
"Taylor Thompson","TE",16.85,NA,1,"TEN",404,NA,76,NA,NA,NA,16.85,16.85,2.37039580524561,-96.7625,NA,NA,1,1,1,NA
"Taylor Yates","QB",3.276,NA,1,"HOU",564,NA,63,NA,NA,NA,3.276,3.276,2.31959542210438,-220.48,NA,NA,1,1,1,NA
"Ted Ginn","WR",NA,NA,1,"CAR",776,NA,291,NA,NA,28.375,NA,28.375,0.415998541160832,NA,NA,NA,1,1,1,NA
"Ted Ginn Jr.","WR",28.3575,NA,1,"CAR",325,NA,140,NA,NA,NA,28.3575,28.3575,3.72230743983823,-121.919166666667,NA,NA,1,1,1,NA
"Terrance Copper","WR",6.5,NA,1,"KC",515,NA,207,NA,NA,NA,6.5,6.5,2.18034367470693,-143.776666666667,NA,NA,1,1,1,NA
"Terrance Ganaway","RB",8.745,NA,1,"STL",479,NA,143,NA,NA,NA,8.745,4.3725,2.13905440157168,-111.125833333333,NA,NA,1,1,1,NA
"Terrance Williams","WR",58.125,8.29768761459369,1,"DAL",226,205.2,93,57.25,74.45,80.825,58.125,68.7208333333333,65.6888087934299,-92.1516666666667,49.5,11.8139130548124,1,1,1,0
"Terrelle Pryor","QB",20.564,7.6665773945821,1,"OAK",376,248,42,NA,32.118,33.82,20.564,28.834,16.5470126184758,-203.192,51,7.21241124728755,1,1,1,0
"Terrence Austin","WR",3.3875,NA,1,"DET",562,NA,217,NA,NA,NA,3.3875,3.3875,2.31320573041654,-146.889166666667,NA,NA,1,1,1,NA
"Terrence Toliver","WR",NA,NA,1,"CHI",777,NA,292,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Thaddeus Lewis","QB",NA,NA,1,"DET",778,NA,112,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Theo Riddick","RB",4.48,NA,1,"DET",547,NA,169,NA,NA,NA,4.48,4.48,2.256563092889,-115.390833333333,NA,NA,1,1,1,NA
"Thomas Clayton","RB",0.7575,NA,1,NA,611,NA,189,NA,NA,NA,0.7575,0.7575,2.49395887252058,-119.113333333333,NA,NA,1,1,1,NA
"Tim Benford","WR",NA,NA,1,"DAL",779,NA,293,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Tim Tebow","QB",7.09,NA,1,"NE",509,NA,52,NA,NA,NA,7.09,7.09,2.16506463546773,-216.666,NA,NA,1,1,1,NA
"Tim Toone","WR",NA,NA,1,"ATL",780,NA,294,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Tiquan Underwood","WR",53.405,4.34523172624084,1,"TB",240,NA,100,44,NA,60.875,53.405,52.7433333333333,37.2948879973944,-96.8716666666667,NA,8.45596978471423,1,1,1,0
"Titus Young","WR",NA,NA,1,NA,781,NA,295,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Tobais Palmer","WR",12.675,NA,1,"JAC",441,NA,187,NA,NA,NA,12.675,12.675,2.17682346617994,-137.601666666667,NA,NA,1,1,1,NA
"Toby Gerhart","RB",61.255,3.96709906111288,1,"MIN",222,185.9,62,58.825,61.605,56.575,61.255,59.3483333333333,56.8005035567489,-58.6158333333333,23.4,2.34559160980764,1,1,1,0
"Tom Brady","QB",295.654,5.23223992851169,32,"NE",5,44.85,5,330.9,291.728,312.28,295.654,306.857166666667,338.204641197676,71.898,10,17.8830752295758,25.2,29,16,8.38617292897783
"Tom Crabtree","TE",37.225,5.70229744737072,1,"TB",287,NA,47,46.75,43.6625,19,37.225,36.659375,33.9306220523206,-76.3875,NA,12.4236056184386,1,1,1,0
"Tommy Bohanon","RB",6.1275,NA,1,"NYJ",523,NA,160,NA,NA,NA,6.1275,6.1275,2.19161603787438,-113.743333333333,NA,NA,1,1,1,NA
"Tommy Gallarda","TE",3.4875,NA,1,"ATL",561,NA,109,NA,NA,NA,3.4875,3.4875,2.30757097527788,-110.125,NA,NA,1,1,1,NA
"Tommy Streeter","WR",39.625,3.50876671421553,1,"BAL",275,NA,117,48.125,NA,NA,39.625,43.875,17.0168629282219,-110.651666666667,NA,6.01040764008565,1,1,1,0
"Toney Clemons","WR",8.375,NA,1,"JAC",489,NA,198,NA,NA,NA,8.375,8.375,2.14271332943139,-141.901666666667,NA,NA,1,1,1,NA
"Tony Fiammetta","RB",3.27,NA,1,"NE",565,NA,175,NA,NA,NA,3.27,3.27,2.31994245901757,-116.600833333333,NA,NA,1,1,1,NA
"Tony Gonzalez","TE",154.4,3.00286290484156,11,"ATL",89,62.2,3,155,155.2625,146.5,154.4,152.790625,146.448910740593,40.7875,11.05,4.20925783986916,10.3,12,1,7.0343879299155
"Tony Moeaki","TE",47.5875,5.93048665617887,1,"KC",254,219,43,NA,54.9875,55.25,47.5875,52.6083333333333,36.7631419273226,-66.025,39,4.35014966217638,1,1,1,0
"Tony Romo","QB",266.076,4.45578729550507,7,"DAL",15,75.55,12,275.24,275.682,249.36,266.076,265.4645,278.095555363344,42.3199999999999,11.7,12.3102133612704,5.5,7,1,7.44600149832412
"Tony Scheffler","TE",65.9625,7.08956326272347,1,"DET",208,249,33,53.5,65.95,82.125,65.9625,66.8760416666667,65.5986365434037,-47.65,38,11.7351474168769,1,1,1,0
"Tori Gurley","WR",NA,NA,1,"BAL",782,NA,296,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Torrey Smith","WR",172.3675,3.40961569555939,12,"BAL",72,51.35,21,162.65,169.7125,181.875,172.3675,172.024583333333,170.346005605067,22.0908333333333,8.8,7.95443966704548,10.9,13,1,7.09589322109753
"Travaris Cadet","RB",10.805,NA,1,"NO",458,NA,132,NA,NA,NA,10.805,10.805,2.14138314625473,-109.065833333333,NA,NA,1,1,1,NA
"Travis Benjamin","WR",52.2025,2.19005533718772,1,"CLE",242,NA,102,NA,NA,55.25,52.2025,53.72625,23.5385012173351,-98.0741666666667,NA,2.154907915666,1,1,1,0
"Travis Kelce","TE",51.9875,5.4839069539175,1,"KC",244,268,39,59.125,62.5375,NA,51.9875,57.75,42.4165932672373,-61.625,33,5.3834865174284,1,1,1,0
"Trent Richardson","RB",232.88,2.84461480801111,61,"CLE",23,8.25,8,237.85,243.5075,223.8,232.88,234.092708333333,234.517742188691,113.009166666667,2.7,8.35606774919679,49.2,56,45,7.56216163122565
"Trindon Holliday","WR",12.8625,NA,1,"DEN",438,NA,185,NA,NA,NA,12.8625,12.8625,2.18212639735231,-137.414166666667,NA,NA,1,1,1,NA
"Tristan Davis","RB",4.39,NA,1,NA,550,NA,171,NA,NA,NA,4.39,4.39,2.26082015739036,-115.480833333333,NA,NA,1,1,1,NA
"Tyler Bray","QB",NA,NA,1,"KC",783,NA,113,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Tyler Clutts","RB",2.5875,NA,1,"HOU",574,NA,178,NA,NA,NA,2.5875,2.5875,2.36154879457786,-117.283333333333,NA,NA,1,1,1,NA
"Tyler Eifert","TE",74.55,5.21779198802512,3,"CIN",193,145.5,27,78.125,86.9875,61.375,74.55,75.2177083333333,74.2672004820049,-39.0625,21.8,10.6307698794192,2,3,1,0
"Tyler Thigpen","QB",NA,NA,1,NA,784,NA,114,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Tyler Wilson","QB",17.618,4.58163304498039,1,"OAK",398,NA,43,NA,4.682,NA,17.618,11.15,3.77355879527568,-206.138,NA,9.14713332142918,1,1,1,0
"Tyrod Taylor","QB",7.928,1.64310150332281,1,"BAL",497,NA,51,NA,7.142,NA,7.928,7.535,3.5955412121973,-215.828,NA,0.555785930012627,1,1,1,0
"Tyrone Goard","WR",NA,NA,1,"CIN",785,NA,297,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Vance McDonald","TE",33.45,6.81612628887952,1,"SF",300,NA,49,NA,NA,55.625,33.45,44.5375,15.1590354590427,-80.1625,NA,15.6800928728117,1,1,1,0
"Vernon Davis","TE",139.45,3.91066037642937,7,"SF",106,59.6,5,134.125,148.2625,126.5,139.45,136.884375,137.148983075818,25.8375,11.65,9.15302417578474,6.5,8,1,6.24027584517077
"Vick Ballard","RB",103.035,4.35455702747488,7,"IND",143,114.2,39,110.25,106.1625,93.7,103.035,103.070208333333,100.911764169783,-16.8358333333333,19.4,7.0409739427511,6.4,8,1,0
"Victor Cruz","WR",196.1375,3.51271186248789,37,"NYG",54,33,12,178.375,203.0125,183.625,196.1375,190.083333333333,195.740974366068,45.8608333333333,4.3,11.2907733348961,32.3,37,18,7.31388683163346
"Vincent Brown","WR",92.25,6.44564806218483,2,"SD",165,114.05,63,52.625,99.8375,87,92.25,82.9114583333333,88.3185370808521,-58.0266666666667,16.75,20.8780895293567,1.1,2,1,1.38629436111989
"Vincent Jackson","WR",204.0125,2.16625183307977,27,"TB",47,33.3,10,208.75,204.65,201.625,204.0125,204.617708333333,193.698856248338,53.7358333333333,5.05,2.96193516063963,23.9,27,28,9.49672159869491
"Virgil Green","TE",25.7,5.87894030337144,1,"DEN",340,NA,57,44,NA,NA,25.7,34.85,10.9833580714654,-87.9125,NA,12.9400540957138,1,1,1,0
"Vonta Leach","RB",24.805,1.89554054884379,1,"BAL",345,NA,97,NA,23.6875,22.225,24.805,23.5725,14.4863520534286,-95.0658333333333,NA,1.29383876507083,1,1,1,0
"Wes Welker","WR",177.13,4.11317027503331,13,"DEN",69,48.4,18,183.85,192.5,165.625,177.13,179.96625,184.06650264276,26.8533333333334,10,11.339455729884,12.5,15,7,8.96110948589866
"Weslye Saunders","TE",8.1,NA,1,"IND",491,NA,96,NA,NA,NA,8.1,8.1,2.14623715487352,-105.5125,NA,NA,1,1,1,NA
"Will Johnson","RB",20.62,NA,1,"PIT",374,NA,103,NA,NA,NA,20.62,20.62,2.68101837484352,-99.2508333333333,NA,NA,1,1,1,NA
