"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts","pick","sdPts","sdPick","risk"
"James Hanna","TE","DAL",453,11.15,NA,NA,NA,11.15,11.15,2.14553575342666,15.75,NA,NA,NA,NA
"Sean McGrath","TE","SEA",454,11.05,NA,NA,NA,11.05,11.05,2.14422099769507,NA,NA,NA,NA,NA
"Chase Coffman","TE","ATL",455,11.0375,NA,NA,NA,11.0375,11.0375,2.14406303022679,NA,NA,NA,NA,NA
"Chastin West","WR","DET",455,11.0375,NA,NA,NA,11.0375,11.0375,2.14406303022679,NA,NA,NA,NA,NA
"Konrad Reuland","TE","NYJ",457,10.85,NA,NA,NA,10.85,10.85,2.14186357148628,11.66,NA,NA,NA,NA
"Travaris Cadet","RB","NO",458,10.805,NA,NA,NA,10.805,10.805,2.14138314625473,20.84,NA,NA,NA,NA
"Baron Batch","RB","PIT",459,10.745,NA,NA,NA,10.745,10.745,2.14077114823112,18.78,NA,NA,NA,NA
"Colt McCoy","QB","SF",460,10.71,NA,NA,NA,10.71,10.71,2.14042922744181,8.66,NA,NA,NA,NA
"Dion Sims","TE","MIA",461,10.5625,NA,NA,NA,10.5625,10.5625,2.13911034545981,NA,NA,NA,NA,NA
"Jeremy Stewart","RB","OAK",462,10.46,NA,NA,NA,10.46,10.46,2.13831003732929,18.71,NA,NA,NA,NA
"Henry Hynoski","RB","NYG",463,10.44,NA,NA,NA,10.44,10.44,2.13816498979315,15.25,NA,NA,NA,NA
"Kevin Cone","WR","ATL",464,10.4375,NA,NA,NA,10.4375,10.4375,2.1381471139311,NA,NA,NA,NA,NA
"Matthew Mulligan","TE","GB",465,10.3375,NA,NA,NA,10.3375,10.3375,2.13747856067852,22.5,NA,NA,NA,NA
"Anthony Allen","RB","BAL",466,10.25,7.15,NA,NA,10.25,8.7,3.76892100103703,26.22,NA,2.1920310216783,NA,2.20275269570105
"Ryan D'Imperio","RB",NA,467,10.2025,NA,NA,NA,10.2025,10.2025,2.13671987886568,NA,NA,NA,NA,NA
"Rex Burkhead","RB","CIN",468,9.99,16.25,NA,NA,9.99,13.12,4.35591772878394,NA,NA,4.42648845022779,NA,2.9670127509799
"Clay Harbor","TE","PHI",469,9.7625,NA,NA,8.5,9.7625,9.13125,3.87212883807695,34.25,NA,0.892722311248016,NA,1.75834514773432
"Bear Pascoe","TE","NYG",470,9.6125,NA,NA,NA,9.6125,9.6125,2.13534389947597,11.38,NA,NA,NA,NA
"Matt Slater","WR","NE",471,9.5875,NA,NA,NA,9.5875,9.5875,2.13535531711096,NA,NA,NA,NA,NA
"Stephen Burton","WR","MIN",471,9.5875,NA,NA,NA,9.5875,9.5875,2.13535531711096,10.38,NA,NA,NA,NA
"Preston Parker","WR","NO",473,9.3875,NA,NA,NA,9.3875,9.3875,2.13565072213157,NA,NA,NA,NA,NA
"Michael Smith","RB","TB",474,9.2275,NA,NA,NA,9.2275,9.2275,2.1361482479922,NA,NA,NA,NA,NA
"Stanley Havili","RB","IND",475,9.0925,NA,NA,NA,9.0925,9.0925,2.13674863202459,20.44,NA,NA,NA,NA
"Chris Thompson","RB","WAS",476,9.05,NA,NA,NA,9.05,4.525,2.13697185086488,NA,NA,NA,NA,NA
"Jerome Felton","RB","MIN",477,8.9375,NA,NA,NA,8.9375,8.9375,2.13764179904268,4.7,NA,NA,NA,NA
"Gary Barnidge","TE","CLE",478,8.775,NA,NA,NA,8.775,8.775,2.13881214879609,23.25,NA,NA,NA,NA
"Terrance Ganaway","RB","STL",479,8.745,NA,NA,NA,8.745,4.3725,2.13905440157168,NA,NA,NA,NA,NA
"Alan Bonner","WR","HOU",480,8.7,NA,NA,NA,8.7,8.7,2.13943308553064,NA,NA,NA,NA,NA
"Matt Moore","QB","MIA",481,8.616,NA,NA,NA,8.616,8.616,2.14018910085099,8.94,NA,NA,NA,NA
"Brett Brackett","TE","JAC",482,8.5875,NA,NA,NA,8.5875,8.5875,2.14046014560466,NA,NA,NA,NA,NA
"Edwin Baker","RB","SD",483,8.56,NA,NA,NA,8.56,8.56,2.14072866353774,NA,NA,NA,NA,NA
"Lawrence Vickers","RB",NA,484,8.5525,NA,NA,NA,8.5525,8.5525,2.1408030860743,16.88,NA,NA,NA,NA
"Josh McCown","QB","CHI",485,8.534,NA,3.682,NA,8.534,6.108,3.121180295594,NA,NA,3.43088210231713,NA,2.62648168837464
"Drew Stanton","QB","ARI",486,8.484,NA,6.51,NA,8.484,7.497,3.57378365388013,NA,NA,1.39582878606224,NA,1.930424587396
"Brandon Jackson","RB","CLE",487,8.4125,NA,NA,NA,8.4125,8.4125,2.14228594943137,7.9,178.5,NA,32.7,7.61114565389605
"Cyrus Gray","RB","KC",488,8.4075,NA,NA,NA,8.4075,4.20375,2.14234219653378,9.81,NA,NA,NA,NA
"Toney Clemons","WR","JAC",489,8.375,NA,NA,NA,8.375,8.375,2.14271332943139,5.13,NA,NA,NA,NA
"Domanique Davis","QB","ATL",490,8.198,NA,NA,NA,8.198,8.198,2.14490273177802,NA,NA,NA,NA,NA
"Weslye Saunders","TE","IND",491,8.1,NA,NA,NA,8.1,8.1,2.14623715487352,NA,NA,NA,NA,NA
"Armanti Edwards","WR","CAR",492,8.0875,NA,NA,NA,8.0875,8.0875,2.14641362553033,21.87,NA,NA,NA,NA
"Levine Toilolo","TE","ATL",493,8.075,NA,NA,NA,8.075,8.075,2.14659151329778,NA,NA,NA,NA,NA
"Michael Cox","RB","NYG",494,8.03,NA,NA,NA,8.03,8.03,2.14724364293733,NA,NA,NA,NA,NA
"Ryan Griffin","TE","HOU",495,8.0125,NA,NA,NA,8.0125,8.0125,2.14750220879569,NA,NA,NA,NA,NA
"Bruce Miller","RB","SF",496,7.9325,NA,NA,NA,7.9325,7.9325,2.14871959523128,22.3,NA,NA,NA,NA
"Tyrod Taylor","QB","BAL",497,7.928,NA,7.142,NA,7.928,7.535,3.5955412121973,17.46,NA,0.555785930012627,NA,1.64310150332281
"Rhett Ellison","TE","MIN",498,7.925,NA,NA,NA,7.925,7.925,2.14883670114216,16.63,NA,NA,NA,NA
"Chris Owusu","WR","TB",499,7.85,NA,NA,NA,7.85,7.85,2.15003581904205,NA,NA,NA,NA,NA
"Allen Reisner","TE","JAC",500,7.8,NA,NA,NA,7.8,7.8,2.15086357318933,NA,NA,NA,NA,NA
"Laron Byrd","WR","ARI",501,7.6625,NA,NA,NA,7.6625,7.6625,2.15325680872706,NA,NA,NA,NA,NA
"Greg Salas","WR","PHI",502,7.6,NA,NA,NA,7.6,7.6,2.1544013274904,NA,NA,NA,NA,NA
"Taylor Price","WR",NA,502,7.6,NA,NA,NA,7.6,7.6,2.1544013274904,NA,NA,NA,NA,NA
"Griff Whalen","WR","IND",504,7.575,NA,NA,NA,7.575,7.575,2.15486905477059,NA,NA,NA,NA,NA
"Jalen Parmele","RB","TEN",505,7.5375,NA,NA,NA,7.5375,7.5375,2.15558127402113,31.96,NA,NA,NA,NA
"Jordan Norwood","WR","CLE",506,7.5,NA,NA,NA,7.5,7.5,2.15630624726805,17.23,NA,NA,NA,NA
"Marcus Thigpen","RB","MIA",507,7.275,NA,NA,NA,7.275,7.275,2.16092392067151,42.3,NA,NA,NA,NA
"Billy Bajema","TE","BAL",508,7.25,NA,NA,NA,7.25,7.25,2.16146533770802,NA,NA,NA,NA,NA
"Tim Tebow","QB","NE",509,7.09,NA,NA,NA,7.09,7.09,2.16506463546773,13.26,NA,NA,NA,NA
"Kealoha Pilares","WR","CAR",510,6.9875,NA,NA,NA,6.9875,6.9875,2.16749244882624,21.27,NA,NA,NA,NA
"Kyle Juszczyk","RB","BAL",511,6.7175,NA,NA,NA,6.7175,6.7175,2.17434374740981,NA,NA,NA,NA,NA
"Darius Reynaud","RB","TEN",512,6.6975,NA,NA,NA,6.6975,6.6975,2.17487755258315,59.68,NA,NA,NA,NA
"Mike Glennon","QB","TB",513,6.56,NA,NA,NA,6.56,6.56,2.17864566892149,NA,NA,NA,NA,NA
"Jonathan Grimes","RB",NA,514,6.55,NA,NA,NA,6.55,6.55,2.17892640250864,NA,NA,NA,NA,NA
"Terrance Copper","WR","KC",515,6.5,NA,NA,NA,6.5,6.5,2.18034367470693,18.3,NA,NA,NA,NA
"Dennis Dixon","QB","PHI",516,6.482,NA,4.862,NA,6.482,3.78133333333333,3.25117670355661,NA,NA,1.14551298552221,NA,1.84480811284894
"Shaun Chapas","RB","DET",517,6.4475,NA,NA,12.5,6.4475,9.47375,3.49227046955804,NA,NA,4.27976379313158,NA,2.91682795304624
"Chad Hall","WR","SF",518,6.4,NA,NA,NA,6.4,6.4,2.18324624041702,NA,NA,NA,NA,NA
"Chris Pressley","RB","CIN",519,6.355,NA,NA,NA,6.355,6.355,2.18458198425793,6.43,NA,NA,NA,NA
"Owen Marecic","RB","CLE",520,6.3325,NA,NA,14.625,6.3325,10.47875,3.43248781675368,NA,NA,5.86368298298945,NA,3.45858191628187
"Quinn Johnson","RB","TEN",521,6.2925,NA,NA,NA,6.2925,6.2925,2.1864676519171,6.5,NA,NA,NA,NA
"Deji Karim","RB","HOU",522,6.275,NA,NA,NA,6.275,6.275,2.18700198751759,12.56,NA,NA,NA,NA
"Tommy Bohanon","RB","NYJ",523,6.1275,NA,NA,NA,6.1275,6.1275,2.19161603787438,NA,NA,NA,NA,NA
"Nathan Palmer","WR","IND",524,6.1125,NA,NA,NA,6.1125,6.1125,2.19209631679792,NA,NA,NA,NA,NA
"Harvey Unga","RB","CHI",525,6.1,NA,NA,NA,6.1,6.1,2.19249810805593,NA,NA,NA,NA,NA
"Kyle Orton","QB","DAL",526,6.054,NA,2.31,NA,6.054,4.182,2.8245790398849,9.56,NA,2.64740778876243,NA,2.3585069601313
"D.C. Jefferson","TE","ARI",527,6,NA,NA,NA,6,6,2.19576345410508,NA,NA,NA,NA,NA
"Kevin Elliott","WR","BUF",527,6,NA,NA,NA,6,6,2.19576345410508,15,NA,NA,NA,NA
"Josh Cooper","WR","CLE",529,5.8875,NA,NA,NA,5.8875,5.8875,2.19954537737891,14.25,NA,NA,NA,NA
"Matt Asiata","RB","MIN",530,5.5475,NA,NA,NA,5.5475,5.5475,2.21167286187938,5.75,NA,NA,NA,NA
"Damien Berry","RB","BAL",531,5.34,NA,NA,NA,5.34,5.34,2.21958937075561,NA,NA,NA,NA,NA
"David Johnson","RB",NA,532,5.3375,NA,NA,NA,5.3375,5.3375,2.21968713112659,NA,NA,NA,NA,NA
"Josh Johnson","QB","CIN",533,5.318,NA,NA,NA,5.318,5.318,2.22045160742982,NA,NA,NA,NA,NA
"Dorin Dickerson","TE","BUF",534,5.3125,NA,NA,NA,5.3125,5.3125,2.22066785248001,10.83,NA,NA,NA,NA
"Antone Smith","RB","ATL",535,5.27,NA,NA,NA,5.27,5.27,2.22234808785709,NA,NA,NA,NA,NA
"Marlon Moore","WR","SF",536,5.175,NA,NA,NA,5.175,5.175,2.22616314333891,27.9,NA,NA,NA,NA
"Brian Hoyer","QB","CLE",537,5.142,NA,3.102,NA,5.142,4.122,2.97115166663775,11.8,NA,1.44249783362056,NA,1.94638698095562
"Graham Harrell","QB","GB",538,5.126,NA,5.72,NA,5.126,5.423,3.21682452830476,NA,NA,0.420021428024809,NA,1.59666544933118
"Ben Hartsock","TE","CAR",539,5.0875,NA,NA,NA,5.0875,5.0875,2.22974942458683,NA,NA,NA,NA,NA
"Shaun Hill","QB","DET",540,5.012,NA,2.282,NA,5.012,3.647,2.83016683369738,14.78,NA,1.93040151263927,NA,2.11326654998802
"Michael Preston","WR","TEN",541,4.925,NA,NA,NA,4.925,4.925,2.23659388558099,8.38,NA,NA,NA,NA
"John Griffin","RB","NYJ",542,4.8575,NA,NA,NA,4.8575,4.8575,2.23950737143815,NA,NA,NA,NA,NA
"Lex Hilliard","RB","NYJ",543,4.6875,NA,NA,NA,4.6875,4.6875,2.24702813022515,16.18,NA,NA,NA,NA
"Anthony Sherman","RB","KC",544,4.665,NA,NA,NA,4.665,4.665,2.2480431659248,14.88,NA,NA,NA,NA
"Charlie Whitehurst","QB","SD",545,4.66,NA,5.392,NA,4.66,5.026,3.15082435348177,NA,NA,0.517602163828553,NA,1.63004136313767
"Jordan White","WR","NYJ",546,4.5,NA,NA,NA,4.5,4.5,2.25562705501471,NA,NA,NA,NA,NA
"Theo Riddick","RB","DET",547,4.48,NA,NA,NA,4.48,4.48,2.256563092889,NA,NA,NA,NA,NA
"Erik Lorig","RB","TB",548,4.43,NA,NA,NA,4.43,4.43,2.25891905921463,23.38,NA,NA,NA,NA
"Richie Brockel","TE","CAR",549,4.4,NA,NA,NA,4.4,4.4,2.26034352242016,NA,NA,NA,NA,NA
"Tristan Davis","RB",NA,550,4.39,NA,NA,NA,4.39,4.39,2.26082015739036,NA,NA,NA,NA,NA
"Kyle Adams","TE","CHI",551,4.3875,NA,NA,NA,4.3875,4.3875,2.26093945784396,6.76,NA,NA,NA,NA
"Seneca Wallace","QB","NO",552,4.27,NA,NA,NA,4.27,4.27,2.26661051919893,NA,NA,NA,NA,NA
"Mike McNeill","TE","STL",553,4.1875,NA,NA,NA,4.1875,4.1875,2.27066715168036,6.88,NA,NA,NA,NA
"Dan Herron","RB",NA,554,4.1,NA,NA,NA,4.1,4.1,2.27503709514508,NA,NA,NA,NA,NA
"Evan Rodriguez","TE","MIA",555,4,NA,NA,8,4,6,3.03399949198638,NA,NA,2.82842712474619,NA,2.4204216987868
"Brock Osweiler","QB","DEN",556,3.922,NA,5.13,NA,3.922,4.526,3.05422873521496,NA,NA,0.854184991673349,NA,1.74516408032524
