playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,
"2552670","null","Angelo Blackson","DL","TEN","DL","TEN","null","4.45","18.5","null","941","1317","null","null","0.175","170","-1683","0","4.45","4.45","null","null",
"2552672","null","Marcus Hardison","DL","CIN","DL","CIN","null","16.3","null","null","942","999","null","null","0.325","170","-1684","0.5","16.3","16.3","null","null",
"2552674","null","Rakeem Nunez-Roches","DL","KC","DL","KC","null","4.15","4","null","943","1329","null","null","0.225","170","-1685","0","4.15","4.15","null","null",
"2552676","null","Darius Philon","DL","SD","DL","SD","null","9.95","5.5","null","944","1135","null","null","0.25","170","-1686","0","9.95","9.95","null","null",
"2552678","null","Deon Simon","DL","NYJ","DL","NYJ","null","5.5","null","null","945","1278","null","null","0.575","170","-1687","0","5.5","5.5","null","null",
"2552680","null","Neiron Ball","LB","OAK","LB","OAK","null","5.3","10","null","1175","1282","null","null","0.2","null","null","0","5.3","5.3","null","null",
"2552682","null","Xzavier Dickson","DL","NE","DL","NE","null","0","null","null","1479","1479","null","null","0","null","null","0","0","0","null","null",
"2552682","null","Xzavier Dickson","LB","NE","LB","NE","null","0","null","null","1479","1479","null","null","0","null","null","0","0","0","null","null",
"2552684","null","Mark Nzeocha","LB","DAL","LB","DAL","null","0.6","null","null","1176","1457","null","null","0.55","170","-1691","0","0.6","0.6","null","null",
"2552685","null","Max Valles","DL","OAK","DL","OAK","null","0","null","null","1479","1479","null","null","0","170","-1692","0","0","0","null","null",
"2552685","null","Max Valles","LB","OAK","LB","OAK","null","0","null","null","1479","1479","null","null","0","170","-1693","0","0","0","null","null",
"2552686","null","Damien Wilson","LB","DAL","LB","DAL","null","10.25","12.5","null","1177","1128","null","null","0.275","145","-1719","0","10.25","10.25","null","null",
"2552689","null","Ronald Darby","DB","BUF","DB","BUF","null","96.55","91.5","null","1472","257","null","null","1.0475","214","-1651","0.5","96.55","96.55","null","null",
"2552691","null","Charles Gaines","DB","CLE","DB","CLE","null","3.15","19","null","1473","1365","null","null","0.2","170","-1696","0.5","3.15","3.15","null","null",
"2552696","null","James Sample","DB","JAC","DB","JAC","null","31.45","12.5","null","1474","792","null","null","0.675","124.25","-1742.75","0.5","31.45","31.45","null","null",
"2552733","null","Michael Bennett","DL","JAC","DL","JAC","null","34.5","9.5","null","946","758","null","null","0.6","177.58","-1690.42","0.75","34.5","34.5","null","null",
"2553112","null","Jason Myers","K","JAC","K","JAC","null","80.4025","122","null","670","352","null","null","1.6864","147.99","-1721.01","0.5","121.77","0","4.8538","23",
"2553191","null","Joe Don Duncan","TE","DEN","TE","DEN","null","0","null","null","1479","1479","null","null","null","null","null","1","0","0","null","null",
"2553229","null","Cedric Thompson","DB","MIA","DB","MIA","null","0","null","null","1479","1479","null","null","0","170","-1701","0","0","0","null","null",
"2553234","null","Dexter McDonald","DB","OAK","DB","OAK","null","10.3","5","null","1475","1127","null","null","0.225","170","-1702","0","10.3","10.3","null","null",
"2553266","null","Tray Walker","DB","BAL","DB","BAL","null","3.65","2","null","1476","1347","null","null","0.15","170","-1703","0","3.65","3.65","null","null",
"2553292","null","Kennard Backman","TE","GB","TE","GB","null","3.408","null","null","626","1353","null","null","0.4921","144.2367","-1729.7633","0.25","6.18","0.8","5.7815","null",
"2553310","null","Efe Obada","DL","PIT","DL","PIT","null","0","null","null","1479","1479","null","null","0","170","-1705","0","0","0","null","null",
"2553318","null","James OShaughnessy","TE","KC","TE","KC","null","18.9143","8.7","null","627","956","null","null","1.7908","126.77","-1749.23","0.5","32.74","6.9","2.8451","null",
"2553353","null","Darryl Roberts","DB","NE","DB","NE","null","3.6","null","null","1477","1349","null","null","0.2","170","-1707","0","3.6","3.6","null","null",
"2553355","null","Randall Evans","DB","PHI","DB","PHI","null","0","null","null","1479","1479","null","null","0","170","-1708","0","0","0","null","null",
"2553437","null","Rodney Gunter","DL","ARI","DL","ARI","null","14","19.5","null","947","1046","null","null","0.075","170","-1709","0","14","14","null","null",
"2553438","null","Mykkele Thompson","DB","NYG","DB","NYG","null","0","null","null","1479","1479","null","null","0","170","-1710","0","0","0","null","null",
"2553441","null","David Mayo","LB","CAR","LB","CAR","null","7.6","7.5","null","1178","1206","null","null","0.15","null","null","0","7.6","7.6","null","null",
