"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"ELIMANNING","Eli Manning","QB","NYG",44,148.130148619958,23,200.087454123895,141.56,213.34,213.38,211.18,NA,208.2,174.3,201.74,203.16,201.8,208.5,191.5,241.08,218.86,NA,184.69,198.522773809524,200.087454123895,-44.9948599926289,10.6103438340266,23.2887151491168,5.38868098262247,1.1,2,1.55,2,132.5,1.7,125.3,3,157,NA,NA,1.55,2
"RANDALLCOBB","Randall Cobb","WR","GB",45,30.3908109189081,10,198.296301685486,266.555,199,184.125,214.425,204.875,201.8375,192.025,197.725,205.375,188.125,199.65,199,164.75,205.3,NA,188.11,203.63421875,198.296301685486,54.8970799958752,5.0152,21.6493944254359,4.62481777782287,33.2,33,33.1,33.2,32.2,22.6,33,27,28,27.4,3.5,33.1,38
"DOUGMARTIN","Doug Martin","RB","TB",46,25.6394860513949,12,197.513810561445,239.13,209.35,183.4,212.7,NA,201.5775,208.25,202.125,178.225,184,186.25,199.875,213,203.55,NA,188.4,197.882488095238,197.513810561445,79.5859963603748,3.8413,16.0743027263622,3.94926940854226,24.8,36,30.4,36,35.2,40.2,15.6,39,24,26.3,3.7,30.4,35
"VINCENTJACKSON","Vincent Jackson","WR","TB",47,35.4459754024598,11,196.458464441395,331.06,201.375,188.75,203.575,NA,196.2375,210.25,190.625,194.875,186.25,194.425,198,187.875,211.95,NA,184.4,206.583430735931,196.458464441395,53.0592427517844,4.8739,37.0607926718845,6.12767560751665,29.4,30,29.7,30,34.8,19.2,38.2,25,32,33.7,4.1,29.7,34
"JOSHMCCOWN","Josh McCown","QB","TB",48,143.55,24,192.517950124987,256.74,220.4,213.74,207.3,NA,199.554,161.32,151.26,177.98,166.6,214.52,186.5,257.6,165.34,NA,154.1,195.763242857143,192.517950124987,-52.5643639915368,13,35.1348142292382,6.81283389594983,1.1,1,1.05,1.1,133,1.9,136.5,0,185,NA,NA,1.05,2
"JAKELOCKER","Jake Locker","QB","TEN",49,160.7,25,190.299798991509,263.27,229.92,192.66,157.72,NA,178.95,136.32,127.16,215.42,192,209.32,187.5,214.64,249.14,NA,220.92,195.283547619048,190.299798991509,-54.7825151250152,18.9,39.3313642705744,7.86141357372743,1,0,0,0,NA,0,170,3,239,NA,NA,0,1
"ANDREELLINGTON","Andre Ellington","RB","ARI",50,29.036696330367,13,189.673213822496,147.26,209.2,178.05,179.825,NA,191.035,220.75,203.475,175.4,184.125,180.8,197,189.3,203.875,NA,196.175,187.714773809524,189.673213822496,71.7453996214257,4.9326,17.9343850475272,4.24998495044362,34.6,38,36.3,38,25.3,14.8,49.4,21,30,28.6,3.8,36.3,41
"EJMANUEL","EJ Manuel","QB","BUF",51,173.9,26,188.954060498546,193.69,192.32,172.14,173.72,NA,180.446,187.52,204.62,196.1,185.2,210.74,198.6,238.34,225.12,NA,205.14,190.949745238095,188.954060498546,-56.1282536179782,18.5,18.6256150290075,5.77876825967904,1,0,0,0,NA,0,170,3,234,NA,NA,0,1
"ANDREJOHNSON","Andre Johnson","WR","HOU",52,41.2063143685631,12,188.414175302624,179.675,198,188.375,212.875,NA,192.9125,210.5,172.125,182.25,181.25,178.75,201.625,162.25,214.75,NA,179,189.916726190476,188.414175302624,45.0149536130133,7.4152,16.0394297861243,4.33060795785003,19,24,21.5,24,40,20.9,34.7,27,36,45.3,6,21.5,25
"KEENANALLEN","Keenan Allen","WR","SD",53,34.4301619838016,13,187.668917154342,223.145,186.625,177.125,178.625,NA,181.475,187.1,189.125,181.25,186.75,192.875,198,181,207.25,NA,177.525,188.945757575758,187.668917154342,44.2696954647314,5.7739,12.9200444195133,3.84663299875114,35.2,35,35.1,35.2,29.9,15.6,44.4,23,35,32.2,3.9,35.1,40
