Player,Action,,Opp,Owner,Projected,Actual,% Owned,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,Fan Pts
Jordy Nelson,The trade action is disabled,Add to Watch List,@Min,Illegal Touching,30,90,92%,0,0,0,0,0,745,7,0,0,1,0,138.13
(GB - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Denarius Moore,The drop action is disabled,Add to Watch List,@SD,Timbuktukian Icemen,78,98,79%,0,0,0,-5,0,741,7,32,0,0,0,137.27
(Oak - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Sidney Rice,The trade action is disabled,Add to Watch List,StL,Cammy Cam Juice,109,92,78%,25,0,0,6,0,748,7,0,0,0,0,137.1
(Sea - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Greg Olsen,The trade action is disabled,Add to Watch List,@NO,Cammy Cam Juice,125,77,78%,0,0,0,0,0,843,5,0,0,0,0,136.38
(Car - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
DeAngelo Williams,The trade action is disabled,Add to Watch List,@NO,Porta-Potty-Passing,80,78,67%,0,0,0,737,5,187,2,0,0,0,2,134.08
(Car - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Malcom Floyd,The trade action is disabled,Add to Watch List,Oak,Illegal Touching,103,106,68%,0,0,0,0,0,814,5,0,0,0,0,133.75
(SD - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Percy Harvin,The trade action is disabled,Add to Watch List,GB,Illegal Touching,33,116,56%,0,0,0,96,1,677,3,574,1,0,1,133.71
(Min - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Golden Tate,The trade action is disabled,Add to Watch List,StL,BigD'sAllUpInYaGrill,203,97,42%,23,1,0,20,0,688,7,0,0,0,1,132.92
(Sea - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Owen Daniels,The trade action is disabled,Add to Watch List,@Ind,BigD'sAllUpInYaGrill,127,82,92%,0,0,0,0,0,716,6,0,0,0,0,129.5
(Hou - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Danny Woodhead,The add action is disabled,Add to Watch List,Mia,W (Mar 6),255,95,40%,0,0,0,301,4,446,3,43,0,0,0,128.71
(NE - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Josh Gordon,The trade action is disabled,Add to Watch List,@Pit,Cammy Cam Juice,202,112,56%,0,0,0,0,0,805,5,0,0,0,1,128.63
(Cle - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Antonio Brown,The trade action is disabled,Add to Watch List,Cle,Illegal Touching,44,115,82%,0,0,1,24,0,787,5,183,0,0,2,128.44
(Pit - WR),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
