Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
?,No new player Notes,?,FA,3.1,0%,2374,1544,0,0,0,1,0,12,0,0,0,0,1
,Richie Brockel Car - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3,0%,2330,1532,0,0,0,0,0,0,0,0,0,0,0
,Beau Brinkley Ten - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2.65,0%,2202,1634,0,0,0,14,0,10,0,0,0,0,0
,Bernard Scott Bal - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2.5,0%,2195,1646,0,0,0,0,0,11,0,6,0,0,0
,Joe Banyard Min - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2.33,0%,2429,1632,0,0,0,32,0,-7,0,0,0,0,0
,Le'Ron McClain SD - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2.3,0%,2180,1638,0,0,0,8,0,12,0,0,0,0,0
,Ray Graham Hou - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2,0%,2487,1722,0,0,0,20,0,0,0,0,0,0,0
,Josh Johnson SF - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2,0%,2045,1682,0,0,0,0,0,0,0,0,0,0,0
,Julian Talley NYG - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2,0%,1910,1533,0,0,0,0,0,0,0,0,0,0,0
,Mike Leach Ari - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,2,0%,2434,1717,130,0,1,-2,0,0,0,0,0,0,0
,Matt Hasselbeck Ind - QB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.92,3%,2407,1642,0,0,0,7,0,7,0,17,0,0,0
,Kenjon Barner Car - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.88,0%,2008,1645,0,0,0,0,0,15,0,0,0,0,0
,Tori Gurley Cle - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,1.63,0%,2050,1648,0,0,0,0,0,13,0,0,0,0,0
,Marquess Wilson Chi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.63,0%,2327,1525,0,0,0,0,0,5,0,0,0,0,0
,Craig Stevens Ten - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.5,0%,1954,1685,0,0,0,0,0,0,0,0,0,0,0
,Josh Bellamy Chi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.38,0%,1890,1527,0,0,0,0,0,3,0,0,0,0,0
,Richard Gordon KC - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.3,0%,2225,1651,0,0,0,9,0,0,0,20,0,0,0
,Cierre Wood Bal - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.26,0%,2135,1665,0,0,0,2,0,0,0,53,0,0,0
,Shaun Draughn Chi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.25,0%,2153,1657,0,0,0,0,0,6,0,0,0,0,0
,Robert Hughes Ari - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1.22,0%,1944,1683,0,0,0,0,0,0,0,61,0,0,0
,Justin Veltung StL - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,1810,1537,0,0,0,0,0,0,0,0,0,0,0
,Clark Harris Cin - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,1,0%,1896,1539,0,0,0,0,0,0,0,0,0,0,0
,D.J. Williams NE - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,2151,1647,0,0,0,10,0,0,0,0,0,0,0
,Spencer Ware Sea - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,2281,1692,0,0,0,0,0,0,0,0,0,0,0
,Ryan Whalen Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,1819,1538,0,0,0,0,0,0,0,0,0,0,0
,Brandon Williams Car - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,2105,1690,0,0,0,0,0,0,0,0,0,0,0
,Chris Harper GB - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,2145,1655,0,0,0,0,0,8,0,0,0,0,0
,Zach Line Min - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,2035,1681,0,0,0,0,0,0,0,0,0,0,0
,Brian Robiskie Ten - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,1,0%,1805,1534,0,0,0,0,0,0,0,0,0,0,0
,Jake Stoneburner GB - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.9,3%,1719,1650,0,0,0,9,0,0,0,0,0,0,0
,Mikel Leshoure Det - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.7,0%,2102,1695,0,0,0,-3,0,0,0,0,0,0,0
,Saalim Hakim NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.65,0%,2245,1658,0,0,0,4,0,2,0,0,0,0,0
,Ronnie Wingo Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.63,0%,1897,1524,0,0,0,0,0,5,0,0,0,0,0
,Mike McNeill Car - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.63,0%,2286,1660,0,0,0,0,0,5,0,0,0,0,0
,Henry Hynoski NYG - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.56,0%,2204,1671,0,0,0,0,0,0,0,28,0,0,0
,Kerwynn Williams SD - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.5,0%,1829,1526,0,0,0,0,0,4,0,0,0,0,0
,Justice Cunningham StL - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.5,0%,1948,1684,0,0,0,0,0,0,0,0,0,0,0
,Rodney Smith Min - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0.2,0%,1824,1540,0,0,0,0,0,0,0,10,0,0,0
,Andre Smith Cle - TE,,,,,,,,,,,,,,,,,
,Injured Reserve,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,1833,-,-,-,-,-,-,-,-,-,-,-,-
,Chase Dixon Sea - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,0,13%,166,-,-,-,-,-,-,-,-,-,-,-,-
,Jordan Matthews Phi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,2228,-,-,-,-,-,-,-,-,-,-,-,-
,Trey Millard SF - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,1800,-,-,-,-,-,-,-,-,-,-,-,-
,Blake Annen Phi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,3%,2013,-,-,-,-,-,-,-,-,-,-,-,-
,Jeremy Gallon NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,2056,-,-,-,-,-,-,-,-,-,-,-,-
,Tevin Reese SD - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,2103,-,-,-,-,-,-,-,-,-,-,-,-
,James Wright Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,2046,-,-,-,-,-,-,-,-,-,-,-,-
,Kadron Boone Phi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,0,0%,1808,-,-,-,-,-,-,-,-,-,-,-,-
,Trey Burton Phi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
