Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,141.36,65%,90,97,0,0,0,25,0,740,6,268,0,1,0
,Emmanuel Sanders Den - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,141.32,48%,131,76,3818,18,27,36,0,0,0,0,0,0,2
,Eli Manning NYG - QB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,140.34,60%,128,70,0,0,0,15,1,759,6,23,0,0,0
,Charles Clay Mia - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,138,93%,79,75,0,0,0,0,0,816,6,0,0,0,0
,Greg Olsen Car - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,137.88,15%,204,102,0,0,0,0,0,919,3,0,0,0,0
,Nate Washington Ten - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,136.75,10%,210,99,0,0,0,-5,0,602,10,0,0,0,0
,Jerricho Cotchery Car - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,136.5,90%,32,78,0,0,0,652,3,371,1,21,0,0,0
,Andre Ellington Ari - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,134.7,5%,213,109,0,0,0,17,0,888,4,0,0,0,1
,Rod Streater Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,134.06,43%,136,189,1829,13,1,69,1,0,0,0,0,1,1
,Josh McCown TB - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,132.45,23%,158,92,0,0,0,537,6,214,2,0,0,0,0
,Donald Brown SD - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,131.8,5%,217,110,0,0,0,21,0,631,8,41,0,0,1
,Eddie Royal SD - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,130.52,8%,1878,169,1798,7,11,576,2,0,0,0,0,0,2
,Terrelle Pryor Sea - QB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,129.99,13%,154,103,0,0,0,6,0,778,5,57,0,0,0
,Doug Baldwin Sea - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,129,23%,191,89,0,0,0,0,0,872,4,0,0,0,2
,Antonio Gates SD - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,128.83,13%,241,105,0,0,0,772,7,38,0,494,0,0,2
,LeGarrette Blount Pit - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,127.5,28%,148,114,0,0,0,0,0,804,4,0,0,0,0
,Greg Jennings Min - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,127.45,5%,195,79,0,0,0,687,8,134,0,0,0,1,3
,Rashard Mendenhall Ari - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,125.48,25%,100,118,0,0,0,220,2,604,2,449,0,0,2
,Darren Sproles Phi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,125.43,93%,34,84,0,0,0,933,2,185,0,0,0,0,1
,C.J. Spiller Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,124.13,73%,68,90,0,0,0,660,4,321,0,0,0,0,2
,Ray Rice Bal - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,123.48,13%,1731,180,1972,11,9,186,2,0,0,0,0,2,3
,EJ Manuel Buf - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,122.88,75%,110,85,0,0,0,0,0,759,5,0,0,0,1
,Martellus Bennett Chi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,122.24,68%,80,121,0,0,0,4,0,736,5,142,0,1,2
,Terrance Williams Dal - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,121.62,8%,1722,164,0,0,0,29,0,556,5,911,0,0,0
,Ted Ginn Jr. Ari - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,121.18,68%,75,95,0,0,0,543,6,191,1,0,0,0,0
,Steven Jackson Atl - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,117.88,23%,190,125,0,0,0,0,0,695,5,0,0,0,0
,Denarius Moore Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,117.63,53%,111,130,0,0,0,0,0,817,3,0,0,0,1
,James Jones Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,117.35,23%,164,94,0,0,0,756,7,22,0,0,0,0,2
,BenJarvus Green-Ellis Cin - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,117.13,25%,129,128,0,0,0,0,0,745,4,0,0,0,0
,Steve Smith Sr. Bal - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,116.8,35%,85,115,0,0,0,563,3,316,1,0,0,0,1
,Trent Richardson Ind - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,115.25,48%,115,146,0,0,0,0,0,802,2,0,0,0,1
,DeAndre Hopkins Hou - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,115.13,73%,89,134,0,0,0,0,0,777,3,0,0,0,0
,Cecil Shorts III Jax - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,115.13,70%,98,131,0,0,0,0,0,673,5,0,0,0,0
,Dwayne Bowe KC - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,115.12,60%,116,136,0,0,0,0,0,611,6,237,0,0,1
