"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"BENTATE","Ben Tate","RB","PIT",0,0,0,119,371,4,12,9,60,0,0,0,0,67.1
"REGGIEBUSH","Reggie Bush","RB","DET",0,0,0,76,297,2,56,40,253,0,0,0,0,67
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",0,0,0,0,0,0,78,48,580,1,0,1,0,66
"COLTMCCOY","Colt McCoy","QB","WAS",1057,4,3,16,66,1,0,0,0,0,0,0,1,65.88
"CECILSHORTS","Cecil Shorts III","WR","JAX",32,1,0,0,0,0,110,53,557,1,0,0,1,64.98
"ANTONESMITH","Antone Smith","RB","ATL",0,0,0,23,144,2,15,13,222,3,0,0,1,64.6
"TAVONAUSTIN","Tavon Austin","WR","STL",0,0,0,36,224,2,44,31,242,0,1,0,0,64.6
"HAKEEMNICKS","Hakeem Nicks","WR","IND",0,0,0,0,0,0,68,38,405,4,0,0,0,64.5
"DONTEMONCRIEF","Donte Moncrief","WR","IND",0,0,0,4,17,0,49,32,444,3,0,0,0,64.1
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",0,0,0,68,292,4,10,8,114,0,0,0,1,62.6
"DAVANTEADAMS","Davante Adams","WR","GB",0,0,0,0,0,0,66,38,446,3,0,0,0,62.6
"CHRISHOGAN","Chris Hogan","WR","BUF",0,0,0,0,0,0,61,41,426,4,0,0,2,62.6
"CARLOSHYDE","Carlos Hyde","RB","SF",0,0,0,83,333,4,16,12,68,0,0,0,1,62.1
"COLEBEASLEY","Cole Beasley","WR","DAL",0,0,0,0,0,0,49,37,420,4,0,0,2,62
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",17,0,0,2,15,0,69,38,537,1,0,0,0,61.88
"EJMANUEL","EJ Manuel","QB","BUF",838,5,3,16,52,1,0,0,0,0,0,0,0,61.72
"TIMWRIGHT","Tim Wright","TE","NE",0,0,0,1,-2,0,33,26,259,6,0,0,0,61.7
"STEVIEJOHNSON","Stevie Johnson","WR","SF",0,0,0,0,0,0,50,35,435,3,0,0,0,61.5
"TOBYGERHART","Toby Gerhart","RB","JAX",0,0,0,101,326,2,24,20,186,0,0,0,1,61.2
"THEORIDDICK","Theo Riddick","RB","DET",0,0,0,20,51,0,50,34,316,4,0,0,0,60.7
"CHARLESJOHNSON","Charles Johnson","WR","MIN",0,0,0,1,-11,0,59,31,475,2,0,1,0,60.4
"BOOBIEDIXON","Boobie Dixon","RB","BUF",0,0,0,105,432,2,9,8,49,0,0,0,0,60.1
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",0,0,0,10,117,1,67,33,384,1,0,0,1,60.1
"ROBERTTURBIN","Robert Turbin","RB","SEA",0,0,0,74,310,0,20,16,186,2,0,0,1,59.6
"BRIANHARTLINE","Brian Hartline","WR","MIA",0,0,0,0,0,0,63,39,474,2,0,0,0,59.4
"JAMESSTARKS","James Starks","RB","GB",0,0,0,85,333,2,29,18,140,0,0,0,0,59.3
"WESWELKER","Wes Welker","WR","DEN",0,0,0,0,0,0,64,49,464,2,0,0,0,58.4
"RYANMATHEWS","Ryan Mathews","RB","SD",0,0,0,74,330,3,10,9,69,0,0,0,0,57.9
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",0,0,0,65,248,1,37,30,225,1,0,0,1,57.3
"STEDMANBAILEY","Stedman Bailey","WR","STL",0,0,0,1,13,0,46,30,435,1,1,0,0,56.8
"KHIRYROBINSON","Khiry Robinson","RB","NO",0,0,0,76,362,3,11,8,63,0,0,0,2,56.5
"LANCEKENDRICKS","Lance Kendricks","TE","STL",0,0,0,0,0,0,38,27,259,5,0,0,0,55.9
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",0,0,0,4,86,0,75,38,409,1,0,0,0,55.5
