"name","name_fftoday","pos","team_fftoday","positionRank_fftoday","overallRank_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","twoPts_fftoday","fumbles_fftoday","pts_fftoday"
"ANDYDALTON","Andy Dalton","QB","CIN",18,18,3755,25,14,164,1,NA,NA,NA,NA,NA,310.2
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",19,19,3750,22,16,229,1,NA,NA,NA,NA,NA,304.4
"CARSONPALMER","Carson Palmer","QB","ARI",20,20,4150,23,17,17,0,NA,NA,NA,NA,NA,301.2
"JOEFLACCO","Joe Flacco","QB","BAL",21,21,3914,22,16,84,1,NA,NA,NA,NA,NA,298.1
"ELIMANNING","Eli Manning","QB","NYG",22,22,4011,23,18,33,0,NA,NA,NA,NA,NA,295.9
"EJMANUEL","EJ Manuel","QB","BUF",23,23,3528,17,15,285,2,NA,NA,NA,NA,NA,284.9
"SAMBRADFORD","Sam Bradford","QB","STL",24,24,3640,20,16,79,1,NA,NA,NA,NA,NA,275.9
"MATTSCHAUB","Matt Schaub","QB","OAK",25,25,3540,22,17,46,0,NA,NA,NA,NA,NA,269.6
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,26,NA,NA,NA,1194,11,73,589,4,NA,NA,268.3
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,27,NA,NA,NA,1426,10,53,444,2,NA,NA,259
"ADRIANPETERSON","Adrian Peterson","RB","MIN",3,28,NA,NA,NA,1426,11,38,216,1,NA,NA,236.2
"MATTFORTE","Matt Forte","RB","CHI",4,29,NA,NA,NA,1220,7,70,545,2,NA,NA,230.5
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",1,30,NA,NA,NA,0,0,96,1449,13,NA,NA,222.9
"JOSHMCCOWN","Josh McCown","QB","TB",26,31,2759,16,14,129,1,NA,NA,NA,NA,NA,220.9
"TOBYGERHART","Toby Gerhart","RB","JAC",5,32,NA,NA,NA,1139,9,49,385,2,NA,NA,218.4
"CALVINJOHNSON","Calvin Johnson","WR","DET",2,33,NA,NA,NA,0,0,93,1477,11,NA,NA,213.7
"DOUGMARTIN","Doug Martin","RB","TB",6,34,NA,NA,NA,1145,8,50,387,2,NA,NA,213.2
"ARIANFOSTER","Arian Foster","RB","HOU",7,35,NA,NA,NA,1244,7,59,406,1,NA,NA,213
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",8,36,NA,NA,NA,1115,9,58,411,1,NA,NA,212.6
"MONTEEBALL","Montee Ball","RB","DEN",9,37,NA,NA,NA,1106,8,52,404,2,NA,NA,211
"BISHOPSANKEY","Bishop Sankey","RB","TEN",10,38,NA,NA,NA,1160,8,48,344,2,NA,NA,210.4
"JULIOJONES","Julio Jones","WR","ATL",3,39,NA,NA,NA,52,0,93,1429,10,NA,NA,208.1
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",11,40,NA,NA,NA,1184,10,29,222,1,NA,NA,206.6
"EDDIELACY","Eddie Lacy","RB","GB",11,40,NA,NA,NA,1110,10,42,296,1,NA,NA,206.6
"LEVEONBELL","Le'Veon Bell","RB","PIT",13,42,NA,NA,NA,1080,7,57,436,2,NA,NA,205.6
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",27,43,2365,15,14,204,1,NA,NA,NA,NA,NA,204.7
"ZACSTACY","Zac Stacy","RB","STL",14,44,NA,NA,NA,1159,10,33,214,1,NA,NA,203.3
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",15,45,NA,NA,NA,937,6,72,537,3,NA,NA,201.4
"DEZBRYANT","Dez Bryant","WR","DAL",4,46,NA,NA,NA,0,0,86,1226,12,NA,NA,194.6
"AJGREEN","A.J. Green","WR","CIN",5,47,NA,NA,NA,0,0,93,1307,10,NA,NA,190.7
"JAKELOCKER","Jake Locker","QB","TEN",28,48,2249,11,13,262,1,NA,NA,NA,NA,NA,188.7
"RASHADJENNINGS","Rashad Jennings","RB","NYG",16,49,NA,NA,NA,969,8,40,314,2,NA,NA,188.3
"ANDREELLINGTON","Andre Ellington","RB","ARI",17,50,NA,NA,NA,1046,5,49,387,2,NA,NA,185.3
"ALFREDMORRIS","Alfred Morris","RB","WAS",18,51,NA,NA,NA,1222,9,10,74,0,NA,NA,183.6
"RAYRICE","Ray Rice","RB","BAL",19,52,NA,NA,NA,956,6,50,387,2,NA,NA,182.3
"CHRISJOHNSON","Chris Johnson","RB","NYJ",20,53,NA,NA,NA,965,7,44,314,2,NA,NA,181.9
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,54,NA,NA,NA,NA,NA,92,1146,11,NA,NA,180.6
"ANTONIOBROWN","Antonio Brown","WR","PIT",6,55,NA,NA,NA,34,0,95,1280,8,NA,NA,179.4
"CHADHENNE","Chad Henne","QB","JAC",29,56,2456,13,11,34,0,NA,NA,NA,NA,NA,178.2
"TRENTRICHARDSON","Trent Richardson","RB","IND",21,57,NA,NA,NA,977,6,50,377,1,NA,NA,177.4
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",7,57,NA,NA,NA,0,0,91,1174,10,NA,NA,177.4
"GENOSMITH","Geno Smith","QB","NYJ",30,59,1910,11,12,241,2,NA,NA,NA,NA,NA,175.6
"MATTCASSEL","Matt Cassel","QB","MIN",31,60,2145,15,12,81,0,NA,NA,NA,NA,NA,175.4
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",8,60,NA,NA,NA,77,0,79,1197,8,NA,NA,175.4
"FRANKGORE","Frank Gore","RB","SF",22,62,NA,NA,NA,1089,8,23,179,0,NA,NA,174.8
"JOIQUEBELL","Joique Bell","RB","DET",23,63,NA,NA,NA,887,6,40,335,2,NA,NA,170.2
"JORDYNELSON","Jordy Nelson","WR","GB",9,64,NA,NA,NA,0,0,78,1159,9,NA,NA,169.9
"PERCYHARVIN","Percy Harvin","WR","SEA",10,65,NA,NA,NA,145,1,94,1067,7,NA,NA,169.2
"WESWELKER","Wes Welker","WR","DEN",11,66,NA,NA,NA,0,0,98,1067,10,NA,NA,166.7
"RANDALLCOBB","Randall Cobb","WR","GB",12,67,NA,NA,NA,66,0,86,1145,7,NA,NA,163.1
"KEENANALLEN","Keenan Allen","WR","SD",13,68,NA,NA,NA,0,0,81,1129,8,NA,NA,160.9
