"name","pos","name_cbs2","team_cbs2","positionRank_cbs2","overallRank_cbs2","pts_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recTds_cbs2","returnTds_cbs2","twoPts_cbs2","fumbles_cbs2"
"SEBASTIANJANIKOWSKI","K","Sebastian Janikowski","OAK",13,131,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",29,135,123,NA,NA,NA,NA,NA,NA,NA,NA,75,968,6,NA,NA,1
"GREGZUERLEIN","K","Greg Zuerlein","STL",14,135,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAIDERS","DST","Raiders","OAK",30,137,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",30,138,121,NA,NA,NA,NA,NA,NA,NA,NA,71,931,6,NA,NA,0
"MIKEWALLACE","WR","Mike Wallace","MIA",30,138,121,NA,NA,NA,NA,NA,NA,NA,NA,64,927,6,NA,NA,0
"JASONWITTEN","TE","Jason Witten","DAL",6,138,121,NA,NA,NA,NA,NA,NA,NA,NA,78,873,7,NA,NA,0
"NATEFREESE","K","Nate Freese","DET",15,138,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALEBSTURGIS","K","Caleb Sturgis","MIA",15,138,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",28,143,120,NA,NA,NA,NA,NA,155,664,7,41,298,0,NA,NA,1
