"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"DRIARCHER","Dri Archer","RB","PIT",291,NA,NA,NA,NA,NA,20,84,0,17,128,1,NA,NA,27.2
"TROYNIKLAS","Troy Niklas","TE","ARI",292,NA,NA,NA,NA,NA,NA,NA,NA,20,208,1,NA,NA,26.8
"JACOBYJONES","Jacoby Jones","WR","BAL",293,NA,NA,NA,NA,NA,2,8,0,17,199,1,NA,NA,26.7
"STORMJOHNSON","Storm Johnson","RB","JAX",294,NA,NA,NA,NA,NA,45,176,1,3,21,0,NA,NA,25.7
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",295,NA,NA,NA,NA,NA,2,8,0,13,187,1,NA,NA,25.5
"ROBHOUSLER","Rob Housler","TE","ARI",296,NA,NA,NA,NA,NA,NA,NA,NA,18,194,1,NA,NA,25.4
"DARICKROGERS","DaRick Rogers","WR","IND",297,NA,NA,NA,NA,NA,1,5,0,14,188,1,NA,NA,25.3
"BRANDONMYERS","Brandon Myers","TE","TB",297,NA,NA,NA,NA,NA,NA,NA,NA,18,193,1,NA,NA,25.3
"TAVARRESKING","Tavarres King","WR","CAR",299,NA,NA,NA,NA,NA,0,0,0,15,191,1,NA,NA,25.1
"JOSHHUFF","Josh Huff","WR","PHI",300,NA,NA,NA,NA,NA,0,0,0,15,188,1,NA,NA,24.8
"RYANBROYLES","Ryan Broyles","WR","DET",301,NA,NA,NA,NA,NA,0,0,0,16,187,1,NA,NA,24.7
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",302,NA,NA,NA,NA,NA,0,0,0,15,185,1,NA,NA,24.5
"ANTHONYDIXON","Anthony Dixon","RB","BUF",303,NA,NA,NA,NA,NA,40,164,1,2,14,0,NA,NA,23.8
"CHRISOWUSU","Chris Owusu","WR","TB",303,NA,NA,NA,NA,NA,0,0,0,16,178,1,NA,NA,23.8
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR","PIT",305,NA,NA,NA,NA,NA,1,4,0,12,173,1,NA,NA,23.7
"ROBERTTURBIN","Robert Turbin","RB","SEA",306,NA,NA,NA,NA,NA,35,144,1,4,31,0,NA,NA,23.5
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",307,50,27,313,2,1,4,8,0,NA,NA,NA,NA,NA,23.45
"MICHAELFORD","Michael Ford","RB","CHI",308,NA,NA,NA,NA,NA,39,160,1,2,14,0,NA,NA,23.4
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",308,NA,NA,NA,NA,NA,1,5,0,14,169,1,NA,NA,23.4
"JOEMORGAN","Joe Morgan","WR","NO",310,NA,NA,NA,NA,NA,0,0,0,11,173,1,NA,NA,23.3
"LARRYDONNELL","Larry Donnell","TE","NYG",311,NA,NA,NA,NA,NA,NA,NA,NA,16,171,1,NA,NA,23.1
