"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
71459,0,0,14,1,0,0,0,1,0,1,1,0,3,0,"Jamarca Sanford","yasp"
2495503,0,0,10,6,0,0,0,2,0,1,0,0,17,0,"Rahim Moore","yasp"
2495869,0,0,12,5,1,0,0,1,0,0,0,1,0,0,"Tim Jennings","yasp"
2499257,0,0,16,5,1,0,0,1,0,1,0,0,0,0,"Colin Jones","yasp"
2506978,0,0,15,3,0,0,0,1,0,0,0,0,0,0,"Cortland Finnegan","yasp"
2507253,0,0,13,5,0,0,0,3,0,0,0,0,0,0,"Alan Ball","yasp"
2507469,0,0,16,1,1,0,0,5,0,0,0,0,0,0,"Mike Jenkins","yasp"
2507793,0,0,16,4,0,0,0,0,0,0,0,1,0,0,"Don Carey","yasp"
2507918,0,0,12,6,0,0,0,0,1,0,0,0,0,0,"Chris Maragos","yasp"
2508110,0,0,9,6,0,0,0,3,0,1,0,0,26,0,"Aaron Williams","yasp"
2534441,0,0,13,0,0,0,0,1,0,1,1,0,13,0,"Josh Bush","yasp"
2539219,0,0,19,1,0,0,0,3,0,0,0,0,0,0,"Blidi Wreh-Wilson","yasp"
2543637,0,0,10,3,0,1,0,3,0,1,1,0,-2,0,"Terrance Mitchell","yasp"
2543656,0,0,16,5,1,0,0,1,0,1,0,0,7,0,"Ed Reynolds","yasp"
2543680,0,0,12,1,1,0,0,0,0,0,1,2,0,0,"Antone Exum","yasp"
2550279,0,0,16,6,0,0.5,0,2,0,0,0,0,0,0,"Dion Bailey","yasp"
2550338,0,0,19,3,0,0,0,0,0,0,1,0,0,0,"Brian Dixon","yasp"
2550659,26,0,11,2,0,0,0,6,0,0,0,0,0,0,"Tyler Patmon","yasp"
2550842,0,0,12,7,1,0,0,1,0,1,0,0,39,0,"Adrian Phillips","yasp"
2552259,0,0,17,6,0,0,0,1,0,0,0,0,0,0,"Josh Shaw","yasp"
2552392,0,0,16,4,0,0,0,2,0,0,1,0,0,0,"Jordan Richards","yasp"
2552573,0,0,17,0,0,0,0,0,0,0,0,0,0,0,"Jalen Collins","yasp"
2552691,0,0,15,0,0,0,0,2,0,0,1,0,0,0,"Charles Gaines","yasp"
2553821,0,0,14,0,1,0,0,2,0,0,1,1,0,0,"Cody Riggs","yasp"
1292,0,0,10,2,0,0,0,1,0,0,1,0,0,0,"Charles Godfrey","yasp"
89756,0,0,10,5,0,0,0,1,0,0,0,0,0,0,"Jason McCourty","yasp"
494309,0,0,10,2,1,1,0,0,0,0,0,0,0,0,"Darrell Stuckey","yasp"
2495130,0,0,7,2,0,0,0,5,0,0,0,0,0,0,"Mario Butler","yasp"
2495142,0,0,13,3,0,0,0,1,0,0,0,0,0,0,"Chris Culliver","yasp"
2495565,0,0,11,4,2,0,0,0,0,0,0,0,0,0,"Tarell Brown","yasp"
2507597,5,0,11,6,0,0,0,0,0,0,0,0,0,0,"Colt Anderson","yasp"
2508007,344,1,8,0,0,0,0,0,0,0,0,0,0,0,"Marcus Sherels","yasp"
2508043,0,0,7,4,1,0,0,2,0,1,0,0,5,0,"Nate Allen","yasp"
2508077,0,0,11,2,1,0,0,1,0,0,1,0,0,0,"Teddy Williams","yasp"
2533332,0,0,11,1,1,0,0,2,0,0,0,0,0,0,"Ron Brooks","yasp"
2535582,0,0,10,3,0,0.5,0,1,0,0,0,0,0,0,"Peyton Thompson","yasp"
2539937,0,0,10,2,1,0,0,0,0,0,0,1,0,0,"Shamarko Thomas","yasp"
2541141,0,0,10,2,2,0,0,2,0,0,0,0,0,0,"Marcus Cromartie","yasp"
2541192,0,0,15,1,0,0,0,1,0,0,0,0,0,0,"Chris Banjo","yasp"
2541309,0,0,9,4,0,0,0,0,0,0,1,0,0,0,"Jonathan Meeks","yasp"
2541629,0,0,11,4,0,0,0,0,0,0,0,0,0,0,"Darryl Morris","yasp"
2541756,0,0,14,2,1,0,0,1,0,0,0,0,0,0,"Brynden Trawick","yasp"
2543776,0,0,11,4,0,0,0,2,0,0,0,0,0,0,"Marqueston Huff","yasp"
2550236,0,0,10,3,0,0,0,1,0,1,0,0,0,0,"Deji Olatoye","yasp"
2552605,0,0,13,3,0,0,0,0,0,0,0,0,0,0,"Ibraheim Campbell","yasp"
2553519,0,0,12,2,0,0,0,0,0,0,1,0,0,0,"Kurtis Drummond","yasp"
2553655,0,0,12,4,0,0,0,2,0,0,0,0,0,0,"Anthony Harris","yasp"
2553665,0,0,10,2,0,0,0,0,0,0,1,0,0,0,"Brandon King","yasp"
2553710,0,0,12,4,0,0,0,0,0,0,0,0,0,0,"Deshazor Everett","yasp"
1375,0,0,8,4,0,0,0,0,0,0,0,0,0,0,"Kenny Phillips","yasp"
80636,0,0,8,2,0,0,0,0,0,0,1,0,0,0,"Bradley Fletcher","yasp"
80658,0,0,6,0,0,0,0,2,0,0,0,0,0,0,"Keenan Lewis","yasp"
1037913,5,0,4,3,0,0,0,1,0,1,0,0,24,0,"Robert McClain","yasp"
2495188,6,0,5,0,0,0,0,1,0,1,0,0,22,0,"Shiloh Keo","yasp"
2507484,0,0,6,1,0,0,0,2,0,1,0,0,38,0,"Zackary Bowman","yasp"
2508004,0,0,7,0,0,0,0,0,0,0,1,0,0,0,"Anthony Levine","yasp"
2530610,0,0,9,1,0,0,0,3,0,0,0,0,0,0,"Darrin Walls","yasp"
2532796,465,1,3,2,0,0,0,0,0,0,0,0,0,0,"Omar Bolden","yasp"
2532878,0,0,8,3,0,0,0,3,0,0,0,0,0,0,"Leonard Johnson","yasp"
2532972,0,0,6,0,0,0,0,3,0,0,0,0,0,0,"Corey White","yasp"
2534830,0,0,10,3,0,0,0,1,0,0,0,0,0,0,"Tavon Wilson","yasp"
2535132,0,0,10,3,0,0,0,0,0,0,0,0,0,0,"Nate Ebner","yasp"
2540291,0,0,10,1,0,0,0,2,0,0,0,0,0,0,"Kayvon Webster","yasp"
2540317,0,0,6,5,1,0,0,0,0,0,0,0,0,0,"Cooper Taylor","yasp"
2541135,4,0,8,2,0,0,0,0,0,0,0,0,0,0,"Cody Davis","yasp"
2543473,339,0,10,0,0,0,0,1,0,0,0,0,0,0,"Justin Gilbert","yasp"
2543557,0,0,7,3,0,0,0,1,0,0,0,0,0,0,"Demetri Goodson","yasp"
2543707,0,0,4,0,0,0,0,4,0,0,0,0,0,0,"Jaylen Watkins","yasp"
2543712,0,0,7,1,1,0,0,1,0,0,0,0,0,0,"Terrence Brooks","yasp"
2552265,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"Steven Nelson","yasp"
