"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk"
"GREGOLSEN","Greg Olsen","TE","CAR",74,83.7,7,136.521506080214,165.245,125.375,136.125,135.25,135.25,136.0875,134.875,137.75,119.25,147.625,145.875,142,111.375,145.375,NA,142.075,137.227364583333,136.521506080214,18.1665818037836,13.3,12.6169050733907,4.31097309333847
"TOMBRADY","Tom Brady","QB","NE",75,68.8,11,262.910264082943,197.2,279.42,284.28,256.58,NA,267.994,275.5,255.84,261.22,280.2,261.84,285.1,260.94,280.68,NA,276.68,263.890207142857,262.910264082943,17.8279499664191,9.6,22.35317130044,4.8665265759839
"MIKEWALLACE","Mike Wallace","WR","MIA",76,64.7,25,160.151740338021,137.555,157.5,159.375,156.35,NA,160.8875,156.675,164.225,157.25,162.75,165.525,168.25,148.5,180.175,NA,174.585,160.354983766234,160.151740338021,16.7525186484106,12.7,10.4239544581377,4.03432881932924
"TONYROMO","Tony Romo","QB","DAL",77,78.3,12,261.301580455059,276.46,277.94,260.28,256.06,NA,259.41,240.54,250.16,253.4,251,252.28,281.9,273.56,275.68,NA,265.88,260.447619047619,261.301580455059,16.2192663385349,17.6,12.7913938487331,4.78246900678268
"STEVENJACKSON","Steven Jackson","RB","ATL",78,77.7,34,134.144553554916,134.335,152.7,118.575,157.325,NA,143.3525,81.75,127.625,128.8,131.375,145.325,129.75,160.35,152.675,NA,155.45,135.43975,134.144553554916,16.216739353846,23.1,20.6414961445093,6.12711347359178
"TYHILTON","T.Y. Hilton","WR","IND",79,68.9,26,159.537293405894,52.885,148.625,149.625,168.475,NA,159.575,146.875,176.175,156.275,147,154.35,165.75,160.875,173.575,NA,162.835,154.909675324675,159.537293405894,16.1380717162831,16.8,29.9717297224392,6.36835596825161
"MARQUESCOLSTON","Marques Colston","WR","NO",80,71.5,27,159.447813559119,195.09,152.625,156.75,149.375,NA,157.1625,157.375,175.375,139.125,151,157.875,162.625,167.375,167.875,NA,163.6,161.117202380952,159.447813559119,16.048591869509,15.4,13.3172098192341,4.60104391104071
"RUSSELLWILSON","Russell Wilson","QB","SEA",81,93.9,13,260.219051982208,323.58,268.74,247,268.26,NA,257.402,275.88,266.14,273.64,284.8,251.46,287,233.84,279.58,NA,242.54,263.489192857143,260.219051982208,15.1367378656842,21.4,22.5355154391882,6.13157167985811
"KENDALLWRIGHT","Kendall Wright","WR","TEN",82,69.3,28,155.817636590113,148.395,162.625,153,156.175,NA,156.5875,146.2,158.125,152.875,146.5,157.75,161,155.5,177.5,NA,165.065,156.47178030303,155.817636590113,12.4184149005023,11.8,8.18901776679536,3.72189080639745
"DANNYWOODHEAD","Danny Woodhead","RB","SD",83,107.7,35,128.977489463227,108.265,148.775,121.875,141.25,NA,135.1475,135.775,135.825,117.95,125.125,115.275,113.5,102.775,149.75,NA,131.05,126.950845238095,128.977489463227,11.0496752621564,15.7,14.6769246039844,4.76496092478212
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",84,83.1,29,154.344727689451,153.33,167.75,176.25,153.275,NA,162.15,148.8,141.625,146.125,159.25,142.7,168.25,106.375,168.625,NA,155.52,154.302386363636,154.344727689451,10.9455059998407,15.4,17.1729323699046,4.97593731416527
"JULIANEDELMAN","Julian Edelman","WR","NE",85,76.6,30,153.722343320269,145.965,167,152.375,162.275,NA,158.9375,146.225,154.25,140,141.5,146.3,148.75,142,168.95,NA,167.97,156.106255411255,153.722343320269,10.3231216306583,16.5,10.2967983344792,4.42364332123862
"DENNISPITTA","Dennis Pitta","TE","BAL",86,95,8,127.989178373736,12.43,149,142,148,148,141.225,151.125,121.625,118.375,121.25,111.75,116.25,108.375,151,NA,119.625,125.125,127.989178373736,9.63425409730546,14.8,34.6704702366231,6.6138068930544
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",87,109.3,36,126.211395651706,103.465,133.8,124.975,131.65,NA,128.7175,157.675,130.075,129.725,106.5,128.425,147,140.075,145.125,NA,94.25,126.47205952381,126.211395651706,8.28358145063544,15.7,17.412763946273,5.03096764802373
"JORDANREED","Jordan Reed","TE","WAS",88,86,9,126.124584050605,91.35,137.625,135.375,122.125,122.125,134.35,163.375,140.125,129.25,120,119.375,120.375,104,150.25,NA,119.575,129.101520833333,126.124584050605,7.76965977417505,11.3,17.5875001269164,4.58285654072798
"PHILIPRIVERS","Philip Rivers","QB","SD",89,99.3,14,250.93480300012,261.83,250.18,254.44,256.18,NA,248.514,230.6,249.26,246.56,243,250.92,259.9,268.82,260.02,NA,242.41,249.473183333333,250.93480300012,5.85248888359644,22.5,9.65680821954184,4.99564516177856
"ERICDECKER","Eric Decker","WR","NYJ",90,77.3,31,149.077886792122,95.68,146.125,154,154.375,NA,147.8375,193.7,140.625,152.5,141.125,153.575,155.75,137.375,171.625,NA,160.85,149.107472943723,149.077886792122,5.67866510251201,11.5,21.2617374476448,4.96124500864124
