"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"DIONLEWIS","Dion Lewis","RB",19.0265665663673,4.08072655464859,1,"CLE",404,NA,115,19.86,25.75,NA,-1.8,NA,14.0975,21.25,15.35,29.825,31.95,8.125,2.325,NA,NA,-1.8,NA,10.805,16.6535909090909,19.0265665663673,-101.483955691617,NA,11.5787812623278,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DIONSIMS","Dion Sims","TE",19.252414415534,3.66828065265402,1,"MIA",402,NA,70,7.735,NA,NA,-0.06,NA,20.5,15,-0.06,23.94,20.94,18.315,17.815,NA,NA,-0.06,NA,18.95,17.839375,19.252414415534,-98.6874986975262,NA,9.32321915727317,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DJWILLIAMS","D.J. Williams","TE",7.14449800366488,3.11193562313627,1,"NE",512,NA,96,-0.03,NA,NA,-0.015,NA,9.2625,NA,17.86,-0.015,1.86,-0.015,-0.015,NA,NA,-0.015,NA,NA,4.12964285714286,7.14449800366488,-110.795415109395,NA,6.28070919451865,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DOMENIKHIXON","Domenik Hixon","WR",12.2103000406593,3.37799156865861,1,NA,441,NA,183,12.2,NA,NA,-0.405,NA,NA,NA,-0.405,-0.405,-0.405,16.22,-0.405,NA,16.25,-0.405,NA,NA,7.2425,12.2103000406593,-130.570868971177,NA,7.73570172964289,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DOMINIQUEDAVIS","Dominique Davis","QB",0,NA,1,NA,645,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,1.8,0,-245.692910375086,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DONALDBROWN","Donald Brown","RB",68.150874690169,5.97418365537312,1,"SD",214,160.3,61,86.65,86.7,59.125,75.425,1.2,69.9775,66.075,50.925,65.7,58.55,71.575,69.425,32.65,58.6,56.17875,NA,69.425,67.226328125,68.150874690169,-52.3596475678155,22.6,20.7014000606881,1,1,1,1,NA,1.2,137.9,2,211,NA,NA,1,1,0
"DONNIEAVERY","Donnie Avery","WR",90.8097176495208,3.52967361180227,1,"KC",176,183.6,74,82.895,93.75,87.125,96.0118489392737,NA,91.0875,90.95,81.9368489392737,97.5868489392737,76.0618489392737,66.7618489392737,91.0618489392737,101.5,112.85,88.5262489392737,NA,99.705,91.2515404166667,90.8097176495208,-51.9714513623158,9.9,11.0701909362465,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DONTEMONCRIEF","Donte Moncrief","WR",38.4577425760731,5.0970728798107,1,"IND",301,171,128,1.8,66.55,25.05,1.8,1.8,36.9125,21.375,9.05,51.925,41.925,32.25,22.8,38.8,78.425,1.8,NA,31.125,37.8246726190476,38.4577425760731,-104.323426435764,13.5,23.3647773853214,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DONTRELLEINMAN","Dontrelle Inman","WR",26.875,4.80805371907922,1,"SD",362,NA,159,NA,NA,NA,NA,NA,NA,37.875,NA,NA,NA,15.875,NA,NA,NA,NA,NA,NA,26.875,26.875,-115.906169011837,NA,15.556349186104,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DORINDICKERSON","Dorin Dickerson","TE",-0.27,NA,1,"DET",815,NA,160,-0.27,NA,NA,-0.27,NA,NA,NA,-0.27,-0.27,-0.27,-0.27,-0.27,NA,NA,-0.27,NA,NA,-0.27,-0.27,-118.20991311306,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
