"name","player","pos","team","points","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"CHARLESSIMS","Charles Sims","RB","TB",34.2625,-89.8519752140653,0,62.4,24.2546602051372,6.36974108833032,1,1,1,1
"CHARLIEBATCH","Charlie Batch","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",11.155,-130.592601193478,0,NA,11.8495049123019,4.24614958755523,1,1,1,1
"CHASECOFFMAN","Chase Coffman","TE","TEN",17.3,-103.295988484516,NA,NA,NA,NA,1,1,1,1
"CHASEDANIEL","Chase Daniel","QB","KC",0.619,-141.128601193478,0,NA,0.425678282274302,2.43786858153702,1,1,1,1
"CHASEDIXON","Chase Dixon","TE","WAS",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CHASEFORD","Chase Ford","TE","MIN",41.875,-78.7209884845159,NA,NA,NA,NA,1,1,1,1
"CHASERETTIG","Chase Rettig","QB","GB",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CHICAGOBEARS","Chicago Bears","DST","CHI",0,NA,NA,60.9,NA,6.63394963658719,0.5,1,1,1
"CHRISBAKER","Chris Baker","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CHRISBOSWELL","Chris Boswell","K","HOU",0,NA,NA,NA,NA,NA,1,1,1,1
"CHRISCOOLEY","Chris Cooley","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CHRISCOYLE","Chris Coyle","TE","HOU",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CHRISGIVENS","Chris Givens","WR","STL",67.35625,-79.7728776583879,0,45.5,23.849225834745,5.90931441999854,1,1,1,1
"CHRISGRAGG","Chris Gragg","TE","BUF",11.9769855022205,-108.619002982295,0,NA,10.5999625343284,3.1889234934637,1,1,1,1
"CHRISGREISEN","Chris Greisen","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CHRISHOGAN","Chris Hogan","WR","BUF",51.1,-96.0291276583879,0,NA,30.3763717111398,6.62454397614786,1,1,1,1
"CHRISIVORY","Chris Ivory","RB","NYJ",103.463321735954,-20.6511534781116,0,3.7065,30.4673142824131,4.01856121435931,3.3,4,1,1
"CHRISJOHNSON","Chris Johnson","RB","NYJ",143.50543816514,19.3909629510751,1.6094379124341,11.50325,34.9195586014008,4.65797675111679,7.4,9,1,4
"CHRISKOEPPLIN","Chris Koepplin","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CAR",5.5,-118.614475214065,0,NA,7.77817459305202,2.74987255753716,1,1,1,1
"CHRISOWUSU","Chris Owusu","WR","NYJ",22.4393294428107,-124.689798215577,0,40.5,24.848787487186,5.76584224671546,1,1,1,1
"CHRISPOLK","Chris Polk","RB","PHI",46.96875,-77.1457252140653,0,50.6,19.6337016271342,5.53324197259688,1,1,1,1
"CHRISPRESSLEY","Chris Pressley","RB","CLE",0,-124.114475214065,NA,NA,NA,NA,1,1,1,1
"CHRISREDMAN","Chris Redman","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
